Jogador,Equipe,perfil,sem_hibrido,com_hibrido,score_con,score_def,score_duel,score_leitura
João Victor,Mirassol,Posicional,Posicional,Posicional,0.19811320754716977,0.3162388158512305,0.035820895522388096,0.5966567361800729
Marllon,Remo,Combativo,Misto def.,Misto def.,0.09734133790737565,0.23807522890583255,0.2298507462686567,0.2462997115430084
Robert Renan,Vasco da Gama,Construtor,Construtor,Construtor,0.795025728987993,0.3018448331473573,0.3029850746268658,0.3007045916678489
S. Ramos Mingo,Bahia,Construtor,Construtor,Construtor,0.5506003430531731,0.23856981230886284,0.07313432835820899,0.4040052962595167
Fabricio Bruno,Cruzeiro,Construtor,Construtor,Construtor,0.6007718696397941,0.20534859395743654,0.10746268656716423,0.30323450134770885
Bruno Gomes,Internacional,Construtor,Construtor,Construtor,0.6132075471698112,0.38329599696227334,0.46716417910447766,0.299427814820069
Arthur Dias,Athletico Paranaense,Construtor,Construtor,Construtor,0.5741852487135507,0.1714431107337479,0.11940298507462688,0.22348323639286896
Murilo,Palmeiras,Híbrido,Construtor,Construtor,0.4914236706689534,0.4171267721542663,0.17761194029850752,0.656641604010025
G. Gómez,Palmeiras,Posicional,Posicional,Posicional,0.23327615780445965,0.40795469383117045,0.2865671641791045,0.5293422234832365
Gustavo Henrique,Corinthians,Posicional,Posicional,Posicional,0.18439108061749565,0.24248610825853703,0.15970149253731342,0.32527072397976065
Eduardo Doma,Chapecoense,Construtor,Construtor,Construtor,0.560034305317324,0.3054558036883253,0.08208955223880599,0.5288220551378446
Ruan Tressoldi,Atlético Mineiro,Posicional,Posicional,Posicional,0.31132075471698106,0.45391135540908023,0.3149253731343285,0.592897337683832
J. Freytes,Fluminense,Construtor,Construtor,Construtor,0.8096054888507718,0.2619498266928939,0.2477611940298508,0.276138459355937
Gabriel Paulista,Corinthians,Posicional,Posicional,Posicional,0.29373927958833623,0.21147962838665235,0.05522388059701494,0.36773537617628976
Léo Pereira,Flamengo,Construtor,Construtor,Construtor,0.6946826758147511,0.2021242207179452,0.13432835820895522,0.26992008322693517
Gustavo Marques,Red Bull Bragantino,Híbrido,Posicional,Posicional,0.4446826758147512,0.30461199464445404,0.07761194029850749,0.5316120489904006
Alix,Red Bull Bragantino,Híbrido,Construtor,Construtor,0.5304459691252144,0.5289561555253948,0.373134328358209,0.6847779826925805
Léo Ortiz,Flamengo,Construtor,Construtor,Construtor,0.8181818181818181,0.19210184006905462,0.04179104477611939,0.34241263536198985
Jacy,Coritiba,Posicional,Posicional,Posicional,0.14879931389365358,0.6525006546216288,0.401492537313433,0.9035087719298245
J. Aguirre,Athletico Paranaense,Posicional,Posicional,Posicional,0.039451114922813,0.48409745851533936,0.3432835820895523,0.6249113349411264
Willian Machado,Mirassol,Híbrido,Construtor,Construtor,0.4927101200686105,0.41792198745243847,0.2402985074626866,0.5955454674421903
Cacá,Vitória,Híbrido,Posicional,Posicional,0.11921097770154376,0.28681997869921216,0.11343283582089553,0.4602071215775288
David Duarte,Bahia,Posicional,Construtor,Construtor,0.4854202401372212,0.4031604991075266,0.16119402985074632,0.6451269683643069
Bruno Leonardo,Chapecoense,Posicional,Posicional,Posicional,0.16638078902229847,0.34417005623040986,0.12686567164179113,0.5614744408190286
L. Esquivel,Athletico Paranaense,Híbrido,Construtor,Construtor,0.7941680960548883,0.39482439554250315,0.6238805970149255,0.16576819407008075
Sabino,São Paulo,Híbrido,Construtor,Construtor,0.6136363636363634,0.4664102173202649,0.3298507462686568,0.6029696883718729
Tiago Cóser,Coritiba,Híbrido,Posicional,Posicional,0.07718696397941682,0.449600557292979,0.2477611940298508,0.6514399205561072
Alexander Barboza,Palmeiras,Construtor,Construtor,Construtor,1.0,0.5948022689785573,0.5373134328358209,0.6522911051212937
Jemmes,Fluminense,Posicional,Misto def.,Misto def.,0.22084048027444247,0.3183910917818342,0.2626865671641791,0.3740956163994893
D. Tchamba,Remo,Posicional,Construtor,Construtor,0.5613207547169812,0.4385746822703054,0.12089552238805973,0.7562538421525511
N. Ferraresi,Botafogo,Híbrido,Construtor,Construtor,0.4837049742710119,0.5725410400120267,0.40597014925373137,0.739111930770322
Luan Peres,Santos,Posicional,Posicional,Posicional,0.4159519725557461,0.33063558643158164,0.2119402985074627,0.44933087435570057
F. Torres,Internacional,Posicional,Posicional,Posicional,0.35934819897084036,0.48912745818361725,0.2537313432835821,0.7245235730836525
Victor Gabriel,Internacional,Híbrido,Construtor,Construtor,0.6856775300171525,0.5662471794806645,0.3656716417910449,0.7668227171702842
Lucas Veríssimo,Santos,Posicional,Posicional,Posicional,0.06303602058319041,0.4720753940610467,0.15373134328358212,0.7904194448385113
Viery,Fiorentina,Construtor,Construtor,Construtor,0.8722126929674099,0.5327591719371649,0.6313432835820898,0.43417506029223996
Jonathan,Cruzeiro,Posicional,Posicional,Posicional,0.14965694682675812,0.3647895435575703,0.2716417910447762,0.4579372960703645
Gustavo Martins,Grêmio,Híbrido,Posicional,Híbrido,0.39108061749571177,0.3963719493044072,0.2417910447761194,0.550952853832695
Gabriel Mercado,Internacional,Construtor,Misto def.,Misto def.,0.39108061749571177,0.3089439312163823,0.2970149253731344,0.32087293705963016
Luan Cândido,Vitória,Posicional,Posicional,Posicional,0.12049742710120065,0.3153316620190295,0.09850746268656718,0.5321558613514918
A. Franco,Tigres UANL,Combativo,Construtor,Construtor,0.5694682675814751,0.42223882008597946,0.3492537313432836,0.4952239088286754
Maicon,Coritiba,Posicional,Posicional,Posicional,0.09691252144082335,0.21816492089135825,0.03731343283582089,0.3990164089468956
Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,Construtor,0.6556603773584904,0.4333393325611974,0.2298507462686567,0.636827918853738
C. Terán,Athletico Paranaense,Combativo,Misto def.,Misto def.,0.4549742710120067,0.243081796295865,0.2119402985074627,0.27422329408426727
A. Saldivia,Vasco da Gama,Híbrido,Construtor,Construtor,0.5175814751286449,0.45176147916962217,0.39999999999999997,0.5035229583392443
C. Cuesta,Vasco da Gama,Construtor,Construtor,Construtor,0.4682675814751286,0.2612170739436595,0.3194029850746269,0.20303116281269212
Júnior Alonso,Atlanta United,Posicional,Posicional,Posicional,0.2482847341337906,0.48763375631418726,0.3567164179104478,0.6185510947179268
Ignácio,Fluminense,Posicional,Posicional,Posicional,0.20969125214408235,0.3687897228286148,0.2402985074626866,0.4972809381945429
L. Villalba,Cruzeiro,Construtor,Construtor,Construtor,0.9159519725557461,0.2989572283284951,0.2761194029850746,0.3217950536719156
A. Frías,Santos,Posicional,Misto def.,Misto def.,0.10205831903945112,0.2719395644842888,0.2955223880597016,0.24835674090887594
Wagner Leonardo,Grêmio,Combativo,Combativo,Combativo,0.37564322469982847,0.2858261889587387,0.3626865671641791,0.20896581075329834
Gabriel Justino,Botafogo,Posicional,Posicional,Posicional,0.0171526586620927,0.3290159360665815,0.2,0.458031872133163
Victor Caetano,Chapecoense,Combativo,Misto def.,Híbrido,0.40823327615780436,0.4488564765899542,0.48656716417910456,0.4111457890008038
Lyanco,Atlético Mineiro,Híbrido,Posicional,Posicional,0.3241852487135506,0.401901719943339,0.2507462686567164,0.5530571712299617
Zé Ivaldo,Remo,Posicional,Misto def.,Híbrido,0.4275300171526585,0.37343160774366213,0.3313432835820896,0.41551993190523473
Camutanga,Vitória,Posicional,Posicional,Posicional,0.12778730703259011,0.24952891945436667,0.10895522388059703,0.3901026150281363
R. Arboleda,São Paulo,Posicional,Posicional,Posicional,0.2817324185248713,0.43291091711255036,0.2746268656716418,0.591194968553459
F. Balbuena,Grêmio,Construtor,Construtor,Construtor,0.608919382504288,0.1553963407533195,0.16268656716417912,0.1481061143424599
André Ramalho,Corinthians,Construtor,Construtor,Construtor,0.6097770154373927,0.263417978909538,0.0,0.526835957819076
Vitão,Flamengo,Híbrido,Construtor,Construtor,0.4073756432246999,0.20602078979481936,0.046268656716417944,0.3657729228732208
