Jogador,Equipe,perfil,k3_upfront,k2_passo3,score_con,score_def,gap_con_def
A. Franco,Tigres UANL,Combativo,Híbrido,Construtor,0.5090610454392832,0.4465671830002115,0.0624938624390716
A. Frías,Santos,Posicional,Defensivo,Misto def.,0.1599266837969183,0.2640786232924845,0.1041519394955662
A. Saldivia,Vasco da Gama,Híbrido,Híbrido,Construtor,0.517070968739947,0.4690153055594963,0.0480556631804506
Alexander Barboza,Palmeiras,Construtor,Híbrido,Construtor,0.8447194230143067,0.6139652143594695,0.2307542086548372
Alix,Red Bull Bragantino,Híbrido,Híbrido,Construtor,0.4426065861521387,0.5808967645811234,0.1382901784289846
André Ramalho,Corinthians,Construtor,Construtor,Construtor,0.6341160502812525,0.351223971879384,0.2828920784018685
Arthur Dias,Athletico Paranaense,Construtor,Construtor,Construtor,0.5335988808614043,0.1887898192867882,0.344809061574616
Bastos,Botafogo,Combativo,Defensivo,Combativo,0.2941283043836806,0.178671803887829,0.1154565004958516
Bruno Fuchs,Palmeiras,Construtor,Construtor,Construtor,0.5449741835155717,0.2003874324881009,0.3445867510274707
Bruno Gomes,Internacional,Construtor,Construtor,Construtor,0.5708627510234638,0.3553399362482052,0.2155228147752586
Bruno Leonardo,Chapecoense,Posicional,Defensivo,Posicional,0.2146399825472702,0.4166048510932827,0.2019648685460125
C. Cuesta,Vasco da Gama,Construtor,Construtor,Construtor,0.4653197386901944,0.241821770233337,0.2234979684568573
C. Terán,Athletico Paranaense,Combativo,Construtor,Misto def.,0.4035856490194906,0.2534622955586657,0.1501233534608249
Cacá,Vitória,Híbrido,Defensivo,Posicional,0.1585621818726566,0.3446156929919843,0.1860535111193277
Camutanga,Vitória,Posicional,Defensivo,Posicional,0.1563036685121299,0.2963868179789565,0.1400831494668266
D. Tchamba,Remo,Posicional,Híbrido,Construtor,0.4819540286189304,0.5444677355643873,0.0625137069454568
David Duarte,Bahia,Posicional,Híbrido,Construtor,0.4946507430562463,0.4838159888597866,0.0108347541964596
Eduardo Doma,Chapecoense,Construtor,Construtor,Construtor,0.5058976833117619,0.3799112208381651,0.1259864624735967
F. Balbuena,Grêmio,Construtor,Construtor,Construtor,0.4845083069523123,0.1529662652830329,0.3315420416692793
F. Torres,Internacional,Posicional,Híbrido,Posicional,0.3527797750545343,0.5675928298169622,0.2148130547624279
Fabricio Bruno,Cruzeiro,Construtor,Construtor,Construtor,0.5247294537277282,0.2379772297541939,0.2867522239735341
G. Gómez,Palmeiras,Posicional,Defensivo,Posicional,0.2441334198374262,0.4484172037151925,0.2042837838777662
