Jogador,Equipe,perfil,score_con,score_def,gap,split_gap,Passes progressivos/90,Duelos aérios/90,Interseções/90
Viery,Fiorentina,Construtor,0.7990675883473708,0.4998978013888566,0.2991697869585142,Híb. construtor,10.48,3.13,4.56
Alexander Barboza,Palmeiras,Construtor,0.8447194230143067,0.6139652143594695,0.2307542086548372,Híb. construtor,11.83,5.29,4.17
Pedro Henrique,Red Bull Bragantino,Construtor,0.5815223497734284,0.5011688613253775,0.0803534884480509,Híb. construtor,7.53,4.36,4.92
A. Franco,Tigres UANL,Combativo,0.5090610454392832,0.44656718300021153,0.06249386243907168,Híb. construtor,8.41,3.8,4.39
A. Saldivia,Vasco da Gama,Híbrido,0.517070968739947,0.4690153055594963,0.04805566318045068,Híb. construtor,7.43,3.92,4.34
Sabino,São Paulo,Híbrido,0.5598232510456198,0.5119300410041342,0.04789321004148561,Híb. construtor,8.12,4.52,4.52
Willian Machado,Mirassol,Híbrido,0.5111042564519523,0.47712981411568905,0.03397444233626329,Híb. construtor,7.14,3.88,5.06
João Paulo,Chapecoense,Posicional,0.5176543772115738,0.49616611697270957,0.021488260238864243,Híb. construtor,11.31,4.13,5.2
David Duarte,Bahia,Posicional,0.4946507430562463,0.48381598885978666,0.010834754196459628,Híb. construtor,6.16,5.05,4.34
Victor Gabriel,Internacional,Híbrido,0.6080414051173567,0.6331056920438711,-0.025064286926514412,Híb. defensivo,9.3,5.15,5.15
Murilo,Palmeiras,Híbrido,0.4560828217390984,0.4969650494395192,-0.04088222770042077,Híb. defensivo,8.29,4.26,5.16
Victor Caetano,Chapecoense,Combativo,0.383598648663823,0.43628624739357075,-0.052687598729747764,Híb. defensivo,6.01,3.0,4.51
D. Tchamba,Remo,Posicional,0.48195402861893044,0.5444677355643873,-0.06251370694545688,Híb. defensivo,8.33,3.56,6.55
Lyanco,Atlético Mineiro,Híbrido,0.37589511434701484,0.4522868703722132,-0.07639175602519838,Híb. defensivo,5.06,3.67,4.94
Gustavo Martins,Grêmio,Híbrido,0.3570415552251532,0.4478989174805032,-0.09085736225535002,Híb. defensivo,8.17,4.32,4.32
Gabriel Xavier,Shenzhen Peng City,Posicional,0.3694121613184512,0.4867182976685118,-0.1173061363500606,Híb. defensivo,6.12,4.32,5.04
Alix,Red Bull Bragantino,Híbrido,0.4426065861521387,0.5808967645811234,-0.13829017842898467,Híb. defensivo,7.5,3.28,6.28
Ruan Tressoldi,Atlético Mineiro,Posicional,0.3284241869722174,0.5002400161673308,-0.1718158291951134,Híb. defensivo,5.72,3.59,5.31
N. Ferraresi,Botafogo,Híbrido,0.4405085725126108,0.6280646702647918,-0.18755609775218107,Híb. defensivo,7.04,3.52,6.46
R. Arboleda,São Paulo,Posicional,0.2981007279459692,0.4856722675928533,-0.1875715396468841,Híb. defensivo,6.18,4.34,4.6
F. Torres,Internacional,Posicional,0.3527797750545343,0.5675928298169622,-0.21481305476242796,Híb. defensivo,6.56,4.92,5.05
Júnior Alonso,Atlanta United,Posicional,0.250838516880602,0.5312728691154338,-0.2804343522348318,Híb. defensivo,5.6,4.44,4.71
I. Román,Atlético Mineiro,Combativo,0.19749752482486416,0.58966598887155,-0.3921684640466858,Híb. defensivo,4.6,3.68,3.68
Lucas Veríssimo,Santos,Posicional,0.11006683941189513,0.5781900776535349,-0.4681232382416398,Híb. defensivo,4.28,4.08,6.32
Jacy,Coritiba,Posicional,0.20858109859096421,0.736170027057694,-0.5275889284667298,Híb. defensivo,4.74,4.52,6.75
