Jogador,Equipe,perfil,final
A. Franco,Tigres UANL,Combativo,Construtor
A. Saldivia,Vasco da Gama,Híbrido,Construtor
Alexander Barboza,Palmeiras,Construtor,Construtor
Alix,Red Bull Bragantino,Híbrido,Construtor
André Ramalho,Corinthians,Construtor,Construtor
Arthur Dias,Athletico Paranaense,Construtor,Construtor
Bruno Fuchs,Palmeiras,Construtor,Construtor
Bruno Gomes,Internacional,Construtor,Construtor
C. Cuesta,Vasco da Gama,Construtor,Construtor
D. Tchamba,Remo,Posicional,Construtor
David Duarte,Bahia,Posicional,Construtor
Eduardo Doma,Chapecoense,Construtor,Construtor
F. Balbuena,Grêmio,Construtor,Construtor
Fabricio Bruno,Cruzeiro,Construtor,Construtor
J. Freytes,Fluminense,Construtor,Construtor
João Marcelo,Cruzeiro,Construtor,Construtor
João Paulo,Chapecoense,Posicional,Construtor
Kayky Almeida,Remo,Híbrido,Construtor
L. Esquivel,Athletico Paranaense,Híbrido,Construtor
L. Villalba,Cruzeiro,Construtor,Construtor
Léo Ortiz,Flamengo,Construtor,Construtor
Léo Pereira,Flamengo,Construtor,Construtor
Murilo,Palmeiras,Híbrido,Construtor
N. Ferraresi,Botafogo,Híbrido,Construtor
Pedro Henrique,Red Bull Bragantino,Construtor,Construtor
Rafael Tolói,São Paulo,Construtor,Construtor
Robert Renan,Vasco da Gama,Construtor,Construtor
S. Ramos Mingo,Bahia,Construtor,Construtor
Sabino,São Paulo,Híbrido,Construtor
Victor Gabriel,Internacional,Híbrido,Construtor
Viery,Fiorentina,Construtor,Construtor
Vitão,Flamengo,Híbrido,Construtor
Willian Machado,Mirassol,Híbrido,Construtor
Bruno Leonardo,Chapecoense,Posicional,Defensivo misto
Cacá,Vitória,Híbrido,Defensivo misto
G. Gómez,Palmeiras,Posicional,Defensivo misto
Gabriel Justino,Botafogo,Posicional,Defensivo misto
Gustavo Henrique,Corinthians,Posicional,Defensivo misto
Gustavo Marques,Red Bull Bragantino,Híbrido,Defensivo misto
Gustavo Martins,Grêmio,Híbrido,Defensivo misto
I. Román,Atlético Mineiro,Combativo,Defensivo misto
Ignácio,Fluminense,Posicional,Defensivo misto
Jemmes,Fluminense,Posicional,Defensivo misto
Jonathan,Cruzeiro,Posicional,Defensivo misto
Luan Peres,Santos,Posicional,Defensivo misto
Lucas Oliveira,Mirassol,Híbrido,Defensivo misto
Maicon,Coritiba,Posicional,Defensivo misto
Tiago Cóser,Coritiba,Híbrido,Defensivo misto
Zé Ivaldo,Remo,Posicional,Defensivo misto
A. Frías,Santos,Posicional,Duelista / baixo perfil
Bastos,Botafogo,Combativo,Duelista / baixo perfil
C. Terán,Athletico Paranaense,Combativo,Duelista / baixo perfil
Camutanga,Vitória,Posicional,Duelista / baixo perfil
Gabriel Mercado,Internacional,Construtor,Duelista / baixo perfil
Gabriel Paulista,Corinthians,Posicional,Duelista / baixo perfil
Marllon,Remo,Combativo,Duelista / baixo perfil
Newton,São Paulo,Combativo,Duelista / baixo perfil
Victor Caetano,Chapecoense,Combativo,Duelista / baixo perfil
Vitor Hugo,Atlético Mineiro,Posicional,Duelista / baixo perfil
Wagner Leonardo,Grêmio,Combativo,Duelista / baixo perfil
F. Torres,Internacional,Posicional,Leitura (aéreo+inter)
Gabriel Xavier,Shenzhen Peng City,Posicional,Leitura (aéreo+inter)
J. Aguirre,Athletico Paranaense,Posicional,Leitura (aéreo+inter)
Jacy,Coritiba,Posicional,Leitura (aéreo+inter)
João Victor,Mirassol,Posicional,Leitura (aéreo+inter)
Júnior Alonso,Atlanta United,Posicional,Leitura (aéreo+inter)
Luan Cândido,Vitória,Posicional,Leitura (aéreo+inter)
Lucas Veríssimo,Santos,Posicional,Leitura (aéreo+inter)
Lyanco,Atlético Mineiro,Híbrido,Leitura (aéreo+inter)
R. Arboleda,São Paulo,Posicional,Leitura (aéreo+inter)
Ruan Tressoldi,Atlético Mineiro,Posicional,Leitura (aéreo+inter)
