Jogador,Equipe,perfil,cluster,perfil_kmeans,mudou
A. Frías,Santos,Posicional,1,Combativo,True
Bruno Leonardo,Chapecoense,Posicional,1,Combativo,True
C. Terán,Athletico Paranaense,Combativo,1,Combativo,False
Cacá,Vitória,Híbrido,1,Combativo,True
Camutanga,Vitória,Posicional,1,Combativo,True
F. Torres,Internacional,Posicional,1,Combativo,True
G. Gómez,Palmeiras,Posicional,1,Combativo,True
Gabriel Justino,Botafogo,Posicional,1,Combativo,True
Gabriel Mercado,Internacional,Construtor,1,Combativo,True
Gabriel Paulista,Corinthians,Posicional,1,Combativo,True
Gabriel Xavier,Shenzhen Peng City,Posicional,1,Combativo,True
Gustavo Henrique,Corinthians,Posicional,1,Combativo,True
Ignácio,Fluminense,Posicional,1,Combativo,True
J. Aguirre,Athletico Paranaense,Posicional,1,Combativo,True
Jacy,Coritiba,Posicional,1,Combativo,True
Jemmes,Fluminense,Posicional,1,Combativo,True
Jonathan,Cruzeiro,Posicional,1,Combativo,True
João Victor,Mirassol,Posicional,1,Combativo,True
Júnior Alonso,Atlanta United,Posicional,1,Combativo,True
Luan Cândido,Vitória,Posicional,1,Combativo,True
Luan Peres,Santos,Posicional,1,Combativo,True
Lucas Veríssimo,Santos,Posicional,1,Combativo,True
Maicon,Coritiba,Posicional,1,Combativo,True
Marllon,Remo,Combativo,1,Combativo,False
Newton,São Paulo,Combativo,1,Combativo,False
R. Arboleda,São Paulo,Posicional,1,Combativo,True
Ruan Tressoldi,Atlético Mineiro,Posicional,1,Combativo,True
Tiago Cóser,Coritiba,Híbrido,1,Combativo,True
Vitor Hugo,Atlético Mineiro,Posicional,1,Combativo,True
Zé Ivaldo,Remo,Posicional,1,Combativo,True
Alexander Barboza,Palmeiras,Construtor,0,Construtor,False
André Ramalho,Corinthians,Construtor,0,Construtor,False
Arthur Dias,Athletico Paranaense,Construtor,0,Construtor,False
Bruno Fuchs,Palmeiras,Construtor,0,Construtor,False
Bruno Gomes,Internacional,Construtor,0,Construtor,False
David Duarte,Bahia,Posicional,0,Construtor,True
Eduardo Doma,Chapecoense,Construtor,0,Construtor,False
F. Balbuena,Grêmio,Construtor,0,Construtor,False
Fabricio Bruno,Cruzeiro,Construtor,0,Construtor,False
J. Freytes,Fluminense,Construtor,0,Construtor,False
L. Esquivel,Athletico Paranaense,Híbrido,0,Construtor,True
L. Villalba,Cruzeiro,Construtor,0,Construtor,False
Léo Ortiz,Flamengo,Construtor,0,Construtor,False
Léo Pereira,Flamengo,Construtor,0,Construtor,False
Pedro Henrique,Red Bull Bragantino,Construtor,0,Construtor,False
Rafael Tolói,São Paulo,Construtor,0,Construtor,False
Robert Renan,Vasco da Gama,Construtor,0,Construtor,False
Sabino,São Paulo,Híbrido,0,Construtor,True
Victor Gabriel,Internacional,Híbrido,0,Construtor,True
Viery,Fiorentina,Construtor,0,Construtor,False
Willian Machado,Mirassol,Híbrido,0,Construtor,True
A. Franco,Tigres UANL,Combativo,2,Posicional,True
A. Saldivia,Vasco da Gama,Híbrido,2,Posicional,True
Alix,Red Bull Bragantino,Híbrido,2,Posicional,True
Bastos,Botafogo,Combativo,2,Posicional,True
C. Cuesta,Vasco da Gama,Construtor,2,Posicional,True
D. Tchamba,Remo,Posicional,2,Posicional,False
Gustavo Marques,Red Bull Bragantino,Híbrido,2,Posicional,True
Gustavo Martins,Grêmio,Híbrido,2,Posicional,True
I. Román,Atlético Mineiro,Combativo,2,Posicional,True
João Marcelo,Cruzeiro,Construtor,2,Posicional,True
João Paulo,Chapecoense,Posicional,2,Posicional,False
Kayky Almeida,Remo,Híbrido,2,Posicional,True
Lucas Oliveira,Mirassol,Híbrido,2,Posicional,True
Lyanco,Atlético Mineiro,Híbrido,2,Posicional,True
Murilo,Palmeiras,Híbrido,2,Posicional,True
N. Ferraresi,Botafogo,Híbrido,2,Posicional,True
S. Ramos Mingo,Bahia,Construtor,2,Posicional,True
Victor Caetano,Chapecoense,Combativo,2,Posicional,True
Vitão,Flamengo,Híbrido,2,Posicional,True
Wagner Leonardo,Grêmio,Combativo,2,Posicional,True
