player_id,Jogador,Equipe,archetype_atual,z_area,z_con_slim,z_com,z_duelos_def,m4,archetype_lat_style,archetype_strong_first,archetype_proposta,n_strong_axes,strong_axes,changed_lat_style,changed_proposta
a-franco-tigres-uanl-168,A. Franco,Tigres UANL,Construtor,-1.103,0.256,0.957,0.579,1.224,Combativo,Combativo,Combativo,1,Combativo,True,True
a-fr-as-santos-253,A. Frías,Santos,Combativo,-0.996,-1.293,0.517,0.251,0.886,Combativo,Combativo,Combativo,1,Combativo,False,False
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,Construtor,0.203,0.822,0.950,0.889,0.848,Combativo,Combativo,Combativo,2,Construtor+Combativo,True,True
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,Construtor,0.756,1.551,0.529,1.727,0.624,Construtor,Construtor,Combativo,3,Defensor de Área+Construtor+Combativo,False,True
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,Combativo,-0.034,0.131,1.328,0.725,0.805,Combativo,Combativo,Combativo,1,Combativo,False,False
andr-ramalho-corinthians-318,André Ramalho,Corinthians,Construtor,0.246,1.238,-0.697,-1.554,0.402,Construtor,Construtor,Construtor,1,Construtor,False,False
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,Construtor,-1.174,0.558,0.255,-0.825,0.930,Construtor,Construtor,Construtor,1,Construtor,False,False
bastos-botafogo-337,Bastos,Botafogo,Combativo,-1.139,-0.623,1.223,1.153,1.486,Combativo,Combativo,Combativo,1,Combativo,False,False
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,Construtor,-0.637,0.640,0.289,-0.132,0.837,Construtor,Construtor,Construtor,1,Construtor,False,False
bruno-gomes-internacional-16,Bruno Gomes,Internacional,Construtor,-1.299,1.048,1.119,1.299,1.307,Combativo,Combativo,Combativo,2,Construtor+Combativo,True,True
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,Defensor de Área,0.316,-0.844,-0.279,-0.779,0.478,Defensor de Área,Defensor de Área,Defensor de Área,1,Defensor de Área,False,False
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,Construtor,-1.188,0.668,0.515,0.397,0.953,Construtor,Construtor,Construtor,2,Construtor+Combativo,False,False
c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,Combativo,-0.566,-0.134,0.202,-0.260,0.784,Combativo,Combativo,Combativo,0,—,False,False
