player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,75.43,60.56,81.21,84.20,86.62,77.61,0.52,1135,0.66,68.13,1
willian-machado-mirassol-73,Willian Machado,Mirassol,46.66,83.10,60.56,70.49,69.44,66.05,0.74,1600,0.82,63.18,2
fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,42.47,85.92,70.42,77.46,34.51,62.16,0.93,2013,0.95,61.59,3
jo-o-victor-mirassol-2,João Victor,Mirassol,30.03,83.80,60.56,68.37,61.27,60.81,1.00,2167,1.00,60.81,4
l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,40.58,57.75,73.24,97.18,40.99,61.95,0.75,1618,0.83,59.88,5
david-duarte-bahia-87,David Duarte,Bahia,50.11,99.30,67.25,38.33,55.07,62.01,0.71,1534,0.80,59.60,6
eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,52.71,28.87,49.30,90.85,75.63,59.47,0.85,1832,0.90,58.49,7
f-torres-internacional-123,F. Torres,Internacional,82.67,35.21,51.99,52.02,82.96,60.97,0.63,1371,0.74,58.15,8
gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,57.75,82.34,41.47,68.23,92.54,68.46,0.23,500,0.39,57.12,9
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,78.87,29.58,48.89,41.20,85.21,56.75,0.82,1778,0.88,55.93,10
j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,86.85,52.82,50.65,28.23,77.04,59.12,0.47,1013,0.61,55.56,11
sabino-s-o-paulo-97,Sabino,São Paulo,75.49,60.56,62.68,39.62,46.90,57.05,0.67,1452,0.77,55.43,12
robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,62.68,40.85,85.21,38.73,49.72,55.44,0.98,2128,0.99,55.37,13
l-o-pereira-flamengo-48,Léo Pereira,Flamengo,32.61,31.81,92.96,94.37,29.44,56.24,0.79,1722,0.86,55.37,14
z-ivaldo-remo-296,Zé Ivaldo,Remo,73.47,48.58,48.78,43.64,78.17,58.53,0.33,706,0.48,54.11,15
ign-cio-fluminense-238,Ignácio,Fluminense,81.96,60.56,32.04,41.05,68.87,56.90,0.42,920,0.57,53.95,16
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,59.86,65.49,59.15,59.15,30.28,54.79,0.67,1445,0.77,53.68,17
f-balbuena-gr-mio-306,F. Balbuena,Grêmio,52.88,42.37,72.78,58.20,60.70,57.39,0.31,676,0.47,53.46,18
n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,33.10,50.00,67.60,58.21,64.08,54.60,0.64,1380,0.75,53.43,19
gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,28.69,81.69,78.06,66.10,17.89,54.49,0.60,1311,0.72,53.24,20
kayky-almeida-remo-341,Kayky Almeida,Remo,63.41,63.07,42.94,62.47,52.54,56.89,0.26,565,0.42,52.87,21
gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,83.29,17.21,59.02,66.28,43.24,53.81,0.58,1263,0.70,52.68,22
andr-ramalho-corinthians-318,André Ramalho,Corinthians,32.90,87.89,84.02,26.38,41.55,54.55,0.30,647,0.46,52.07,23
g-g-mez-palmeiras-27,G. Gómez,Palmeiras,64.08,59.86,29.10,59.29,48.87,52.24,0.87,1875,0.91,52.04,24
rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,57.97,66.96,51.22,68.42,30.28,54.97,0.25,537,0.40,52.01,25
luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,43.65,79.90,35.92,37.82,66.90,52.84,0.56,1224,0.69,51.96,26
a-fr-as-santos-253,A. Frías,Santos,83.28,61.08,22.54,21.62,79.01,53.51,0.40,863,0.55,51.93,27
r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,56.34,78.11,31.00,39.35,65.21,54.00,0.32,685,0.47,51.89,28
viery-fiorentina-138,Viery,Fiorentina,92.25,30.48,42.96,34.51,61.83,52.41,0.61,1323,0.73,51.75,29
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,50.34,72.02,52.48,48.09,39.86,52.56,0.50,1078,0.64,51.62,30
j-freytes-fluminense-39,J. Freytes,Fluminense,61.27,35.21,51.41,69.01,39.86,51.35,0.82,1776,0.88,51.19,31
bruno-gomes-internacional-16,Bruno Gomes,Internacional,64.08,13.38,81.69,56.34,40.42,51.18,0.92,1999,0.95,51.12,32
jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,26.45,83.63,55.22,73.07,23.80,52.44,0.27,589,0.43,51.04,33
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,47.13,64.31,51.86,27.55,66.62,51.49,0.29,621,0.44,50.66,34
jonathan-cruzeiro-145,Jonathan,Cruzeiro,60.67,31.77,38.39,49.99,72.25,50.61,0.61,1312,0.72,50.44,35
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,28.17,54.93,60.56,59.86,46.90,50.08,0.75,1620,0.83,50.07,36
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,56.14,28.30,40.01,73.86,48.59,49.38,0.28,598,0.43,49.73,37
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,42.60,15.89,56.34,90.85,42.68,49.67,0.90,1961,0.94,49.69,38
luan-peres-santos-118,Luan Peres,Santos,46.30,60.50,44.77,32.03,64.08,49.54,0.64,1377,0.74,49.66,39
jacy-coritiba-70,Jacy,Coritiba,59.86,50.70,27.82,28.82,80.70,49.58,0.74,1613,0.83,49.65,40
d-tchamba-remo-109,D. Tchamba,Remo,31.54,35.21,40.85,46.80,91.69,49.22,0.65,1416,0.76,49.41,41
j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,45.77,66.20,40.07,38.92,55.07,49.21,0.74,1611,0.82,49.35,42
victor-gabriel-internacional-124,Victor Gabriel,Internacional,64.17,49.30,54.23,22.25,52.54,48.50,0.63,1364,0.74,48.89,43
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,41.86,58.19,35.77,76.99,25.49,47.66,0.33,719,0.49,48.86,44
bastos-botafogo-337,Bastos,Botafogo,66.23,20.71,66.72,66.17,13.38,46.64,0.27,592,0.43,48.56,45
maicon-coritiba-181,Maicon,Coritiba,27.86,39.40,27.04,72.64,70.00,47.39,0.53,1146,0.66,48.27,46
camutanga-vit-ria-301,Camutanga,Vitória,48.67,50.70,24.49,32.49,73.10,45.89,0.32,696,0.48,48.04,47
l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,40.93,16.17,57.49,89.35,22.11,45.21,0.40,869,0.55,47.36,48
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,58.54,59.44,23.06,37.46,36.20,42.94,0.23,489,0.38,47.32,49
murilo-palmeiras-24,Murilo,Palmeiras,20.11,58.45,74.65,52.51,29.15,46.97,0.88,1900,0.92,47.22,50
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,66.18,24.51,27.38,24.86,78.45,44.27,0.36,774,0.51,47.07,51
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,23.46,57.47,64.20,50.56,13.66,41.87,0.23,488,0.38,46.92,52
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,39.22,71.83,49.27,33.72,36.76,46.16,0.81,1754,0.87,46.65,53
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,34.28,36.68,49.76,46.90,37.89,41.10,0.33,711,0.48,45.69,54
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,24.21,54.93,36.52,58.58,46.62,44.17,0.68,1478,0.78,45.45,55
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,42.62,50.13,73.59,33.35,12.82,42.50,0.48,1048,0.62,45.32,56
