player_id,Jogador,Equipe,proposta,perfil_m,con_atual,def,nota_atual,rank_atual,con_opcao_b,nota_opcao_b,rank_opcao_b,passes_prog,passes_long,construcao,delta_con,delta_rank
l-o-pereira-flamengo-48,Léo Pereira,Flamengo,Construtor,Construtor,93.66,31.28,8.08,1,95.07,8.03,1,92.96,94.37,95.07,1.41,0
l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,Construtor,Construtor,85.21,46.44,7.86,2,95.07,7.99,2,73.24,97.18,95.07,9.86,0
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,82.71,74.20,7.70,3,83.38,7.61,4,81.21,84.20,83.38,0.67,-1
fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,Construtor,Construtor,73.94,54.30,7.64,4,80.99,7.80,3,70.42,77.46,80.99,7.04,1
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,Construtor,Construtor,73.59,33.72,7.59,5,76.76,7.61,4,56.34,90.85,76.76,3.17,1
eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,70.07,52.41,7.39,6,69.01,7.24,9,49.30,90.85,69.01,-1.06,-3
bruno-gomes-internacional-16,Bruno Gomes,Internacional,Combativo,Construtor,69.01,39.30,7.38,7,76.06,7.60,6,81.69,56.34,76.06,7.04,1
willian-machado-mirassol-73,Willian Machado,Mirassol,Defensor de Área,Híbrido,65.53,66.40,7.23,8,66.32,7.15,10,60.56,70.49,66.32,0.80,-2
david-duarte-bahia-87,David Duarte,Bahia,Defensor de Área,Defensivo,52.79,68.16,7.19,9,51.78,7.09,11,67.25,38.33,51.78,-1.01,-2
j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,Combativo,Defensivo,39.44,72.24,7.11,10,42.08,6.99,12,50.65,28.23,42.08,2.64,-2
a-fr-as-santos-253,A. Frías,Santos,Combativo,Defensivo,22.08,74.46,7.11,10,20.21,6.99,12,22.54,21.62,20.21,-1.86,-2
l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,Construtor,Construtor,73.42,26.40,7.08,12,68.53,6.82,22,57.49,89.35,68.53,-4.90,-10
f-torres-internacional-123,F. Torres,Internacional,Combativo,Defensivo,52.01,66.95,7.07,13,50.92,6.97,14,51.99,52.02,50.92,-1.08,-1
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,45.04,64.55,7.07,13,40.85,6.94,15,48.89,41.20,40.85,-4.20,-2
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,Construtor,Construtor,63.03,30.07,7.05,15,68.31,7.25,8,78.87,47.18,68.31,5.28,7
robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,Construtor,Construtor,61.97,51.08,7.01,16,71.13,7.43,7,85.21,38.73,71.13,9.15,9
ign-cio-fluminense-238,Ignácio,Fluminense,Defensor de Área,Defensivo,36.55,70.46,7.00,17,34.42,6.88,16,32.04,41.05,34.42,-2.12,1
jacy-coritiba-70,Jacy,Coritiba,Defensor de Área,Defensivo,28.32,63.76,6.97,18,25.27,6.85,20,27.82,28.82,25.27,-3.05,-2
jo-o-victor-mirassol-2,João Victor,Mirassol,Defensor de Área,Defensivo,64.46,58.37,6.94,19,66.51,6.88,16,60.56,68.37,66.51,2.05,3
gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,Defensivo,54.85,77.54,6.94,19,45.85,6.82,22,41.47,68.23,45.85,-9.00,-3
luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,Defensor de Área,Defensivo,36.87,63.48,6.83,21,36.36,6.73,24,35.92,37.82,36.36,-0.50,-3
j-freytes-fluminense-39,J. Freytes,Fluminense,Construtor,Construtor,60.21,45.45,6.81,22,59.15,6.68,25,51.41,69.01,59.15,-1.06,-3
gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,Combativo,Construtor,62.65,47.91,6.81,22,58.34,6.52,33,59.02,66.28,58.34,-4.31,-11
z-ivaldo-remo-296,Zé Ivaldo,Remo,Combativo,Defensivo,46.21,66.74,6.75,24,38.49,6.66,26,48.78,43.64,38.49,-7.72,-2
r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,Defensor de Área,Defensivo,35.18,66.55,6.73,25,33.91,6.64,28,31.00,39.35,33.91,-1.27,-3
f-balbuena-gr-mio-306,F. Balbuena,Grêmio,Combativo,Construtor,65.49,51.99,6.72,26,72.63,6.86,18,72.78,58.20,72.63,7.14,8
gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,Defensor de Área,Híbrido,72.08,42.76,6.71,27,79.52,6.86,18,78.06,66.10,79.52,7.43,9
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,Combativo,Construtor,59.15,51.88,6.69,28,59.86,6.66,26,59.15,59.15,59.86,0.70,2
g-g-mez-palmeiras-27,G. Gómez,Palmeiras,Defensor de Área,Defensivo,44.19,57.61,6.64,29,37.70,6.59,31,29.10,59.29,37.70,-6.49,-2
sabino-s-o-paulo-97,Sabino,São Paulo,Defensor de Área,Híbrido,51.15,60.99,6.60,30,50.00,6.53,32,62.68,39.62,50.00,-1.15,-2
n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,Defensor de Área,Híbrido,62.90,49.06,6.59,31,58.21,6.40,39,67.60,58.21,58.21,-4.69,-8
luan-peres-santos-118,Luan Peres,Santos,Defensor de Área,Defensivo,38.40,56.96,6.52,32,34.71,6.46,34,44.77,32.03,34.71,-3.69,-2
