modelo,rank,Jogador,Equipe,proposta,perfil_m,nota,con,def
atual,1,Léo Pereira,Flamengo,Construtor,Construtor,8.08,93.66,31.28
atual,2,Léo Ortiz,Flamengo,Construtor,Construtor,7.86,85.21,46.44
atual,3,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,7.70,82.71,74.20
atual,4,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.64,73.94,54.30
atual,5,Arthur Dias,Athletico Paranaense,Construtor,Construtor,7.59,73.59,33.72
atual,6,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,7.39,70.07,52.41
atual,7,Bruno Gomes,Internacional,Combativo,Construtor,7.38,69.01,39.30
atual,8,Willian Machado,Mirassol,Defensor de Área,Híbrido,7.23,65.53,66.40
atual,9,David Duarte,Bahia,Defensor de Área,Defensivo,7.19,52.79,68.16
atual,10,A. Frías,Santos,Combativo,Defensivo,7.11,22.08,74.46
atual,10,Júnior Alonso,Atlanta United,Combativo,Defensivo,7.11,39.44,72.24
atual,12,L. Villalba,Cruzeiro,Construtor,Construtor,7.08,73.42,26.40
atual,13,F. Torres,Internacional,Combativo,Defensivo,7.07,52.01,66.95
atual,13,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,7.07,45.04,64.55
atual,15,S. Ramos Mingo,Bahia,Construtor,Construtor,7.05,63.03,30.07
atual,16,Robert Renan,Vasco da Gama,Construtor,Construtor,7.01,61.97,51.08
atual,17,Ignácio,Fluminense,Defensor de Área,Defensivo,7.00,36.55,70.46
atual,18,Jacy,Coritiba,Defensor de Área,Defensivo,6.97,28.32,63.76
atual,19,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,Defensivo,6.94,54.85,77.54
atual,19,João Victor,Mirassol,Defensor de Área,Defensivo,6.94,64.46,58.37
opcao_b_merge_antes,1,Léo Pereira,Flamengo,Construtor,Construtor,8.03,95.07,31.28
opcao_b_merge_antes,2,Léo Ortiz,Flamengo,Construtor,Construtor,7.99,95.07,46.44
opcao_b_merge_antes,3,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.80,80.99,54.30
opcao_b_merge_antes,4,Arthur Dias,Athletico Paranaense,Construtor,Construtor,7.61,76.76,33.72
opcao_b_merge_antes,4,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,7.61,83.38,74.20
opcao_b_merge_antes,6,Bruno Gomes,Internacional,Combativo,Construtor,7.60,76.06,39.30
opcao_b_merge_antes,7,Robert Renan,Vasco da Gama,Construtor,Construtor,7.43,71.13,51.08
opcao_b_merge_antes,8,S. Ramos Mingo,Bahia,Construtor,Construtor,7.25,68.31,30.07
opcao_b_merge_antes,9,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,7.24,69.01,52.41
opcao_b_merge_antes,10,Willian Machado,Mirassol,Defensor de Área,Híbrido,7.15,66.32,66.40
opcao_b_merge_antes,11,David Duarte,Bahia,Defensor de Área,Defensivo,7.09,51.78,68.16
opcao_b_merge_antes,12,A. Frías,Santos,Combativo,Defensivo,6.99,20.21,74.46
opcao_b_merge_antes,12,Júnior Alonso,Atlanta United,Combativo,Defensivo,6.99,42.08,72.24
opcao_b_merge_antes,14,F. Torres,Internacional,Combativo,Defensivo,6.97,50.92,66.95
opcao_b_merge_antes,15,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,6.94,40.85,64.55
opcao_b_merge_antes,16,Ignácio,Fluminense,Defensor de Área,Defensivo,6.88,34.42,70.46
opcao_b_merge_antes,16,João Victor,Mirassol,Defensor de Área,Defensivo,6.88,66.51,58.37
opcao_b_merge_antes,18,F. Balbuena,Grêmio,Combativo,Construtor,6.86,72.63,51.99
opcao_b_merge_antes,18,Gustavo Martins,Grêmio,Defensor de Área,Híbrido,6.86,79.52,42.76
opcao_b_merge_antes,20,Jacy,Coritiba,Defensor de Área,Defensivo,6.85,25.27,63.76
