Rank,Jogador,Equipe,Macro,Micro,Ratio_ajustado,Ratio_só_faltas,Ratio_só_DD_perd,Faltas,DD_perd,DD_venc,Inter,Clear,Block,Den
1,Gabriel Xavier,Shenzhen Peng City,Defensor,D1,0.073,0.029,0.073,0.36,0.9,2.7,1.05,7.97,0.63,12.35
2,Camutanga,Vitória,Defensor,D2,0.092,0.04,0.092,0.39,0.9,2.33,0.9,5.55,1.05,9.83
3,Gabriel Justino,Botafogo,Defensor,D1,0.103,0.035,0.103,0.35,1.05,2.79,0.8,5.73,0.8,10.13
4,Pedro Henrique,Red Bull Bragantino,Construtor,C2,0.116,0.059,0.104,0.63,1.11,2.93,1.1,5.66,1.01,10.7
5,Maicon,Coritiba,Defensor,D2,0.117,0.05,0.117,0.47,1.1,1.65,0.69,5.39,1.65,9.38
6,João Victor,Mirassol,Defensor,D1,0.118,0.056,0.112,0.54,1.08,1.66,0.86,5.68,1.41,9.62
7,Vitor Hugo,Atlético Mineiro,Defensor,D1,0.12,0.053,0.12,0.58,1.31,2.46,1.63,5.98,0.82,10.89
8,D. Tchamba,Remo,Defensor,D2,0.121,0.044,0.121,0.51,1.4,1.91,0.94,8.02,0.74,11.6
9,F. Balbuena,Grêmio,Defensor,D2,0.123,0.031,0.123,0.27,1.06,2.53,1.54,4.46,0.15,8.68
10,Eduardo Doma,Chapecoense,Defensor,D2,0.124,0.071,0.096,0.69,0.93,2.12,0.93,6.02,0.62,9.7
11,Marllon,Remo,Defensor,D1,0.124,0.04,0.124,0.42,1.3,2.74,0.95,6.1,0.76,10.55
12,Cacá,Vitória,Defensor,D1,0.125,0.056,0.125,0.58,1.28,1.98,0.44,6.78,1.07,10.27
13,Jemmes,Fluminense,Defensor,D1,0.125,0.064,0.11,0.69,1.19,3.07,1.4,5.66,0.67,10.8
14,Luan Cândido,Vitória,Defensor,D1,0.129,0.067,0.113,0.66,1.1,2.06,1.23,5.9,0.61,9.79
15,Fabricio Bruno,Cruzeiro,Construtor,C2,0.131,0.051,0.131,0.45,1.16,2.06,0.61,5.51,0.66,8.85
16,F. Torres,Internacional,Defensor,D1,0.132,0.078,0.097,0.85,1.05,3.15,2.0,5.26,0.44,10.85
17,Willian Machado,Mirassol,Construtor,C2,0.132,0.049,0.132,0.56,1.52,2.59,1.21,6.61,1.09,11.5
18,Zé Ivaldo,Remo,Defensor,D2,0.137,0.045,0.137,0.51,1.53,3.19,1.5,5.77,0.75,11.21
19,André Ramalho,Corinthians,Construtor,C2,0.137,0.083,0.098,0.7,0.83,1.67,1.3,4.86,0.65,8.48
20,Gustavo Marques,Red Bull Bragantino,Defensor,D1,0.139,0.068,0.129,0.64,1.22,1.8,0.98,6.08,0.57,9.44
21,A. Frías,Santos,Defensor,D1,0.142,0.079,0.113,0.73,1.04,3.44,1.29,4.12,0.35,9.2
22,Ignácio,Fluminense,Defensor,D1,0.144,0.096,0.087,0.98,0.88,3.23,0.81,5.32,0.81,10.17
23,Ruan Tressoldi,Atlético Mineiro,Defensor,D1,0.147,0.073,0.133,0.81,1.47,3.14,0.85,5.8,1.22,11.02
24,Jonathan,Cruzeiro,Defensor,D1,0.148,0.077,0.13,0.89,1.51,2.81,2.57,5.58,0.64,11.6
25,Gabriel Paulista,Corinthians,Defensor,D1,0.151,0.089,0.112,0.82,1.02,1.85,0.91,5.97,0.45,9.17
26,David Duarte,Bahia,Construtor,C2,0.153,0.075,0.142,0.65,1.23,2.35,1.0,4.63,0.69,8.67
27,G. Gómez,Palmeiras,Defensor,D1,0.155,0.067,0.155,0.67,1.54,2.88,0.67,5.36,1.03,9.95
28,Léo Ortiz,Flamengo,Construtor,C2,0.157,0.088,0.124,0.67,0.95,1.83,1.18,4.03,0.56,7.6
29,R. Arboleda,São Paulo,Defensor,D1,0.158,0.075,0.15,0.79,1.58,2.76,0.79,6.45,0.53,10.53
30,Jacy,Coritiba,Defensor,D1,0.16,0.053,0.16,0.67,2.01,3.18,1.07,7.32,1.01,12.59
31,Gustavo Henrique,Corinthians,Defensor,D1,0.166,0.1,0.12,0.97,1.16,2.41,0.89,5.53,0.84,9.68
32,Júnior Alonso,Atlanta United,Defensor,D1,0.166,0.091,0.137,0.89,1.33,3.56,1.2,4.5,0.5,9.76
33,J. Freytes,Fluminense,Construtor,C2,0.166,0.079,0.158,0.71,1.42,2.74,0.76,5.03,0.47,9.0
34,Bruno Leonardo,Chapecoense,Defensor,D1,0.167,0.087,0.145,0.91,1.52,1.83,1.37,6.52,0.76,10.48
35,Bruno Fuchs,Palmeiras,Construtor,C2,0.167,0.092,0.138,0.9,1.35,2.71,1.25,4.99,0.89,9.84
36,S. Ramos Mingo,Bahia,Construtor,C2,0.17,0.079,0.164,0.67,1.38,1.61,1.32,4.29,1.22,8.44
37,Luan Peres,Santos,Defensor,D2,0.172,0.092,0.144,0.92,1.44,2.48,0.75,5.65,1.09,9.97
38,Léo Pereira,Flamengo,Construtor,C2,0.177,0.09,0.158,0.78,1.36,2.04,1.05,4.59,0.94,8.63
39,Robert Renan,Vasco da Gama,Construtor,C1,0.18,0.09,0.163,0.89,1.61,2.92,1.68,4.77,0.5,9.88
40,Sabino,São Paulo,Construtor,C2,0.185,0.109,0.137,1.24,1.55,3.16,1.14,6.25,0.78,11.33
41,Lucas Veríssimo,Santos,Defensor,D1,0.19,0.099,0.165,1.02,1.7,1.83,1.31,6.69,0.46,10.29
42,João Marcelo,Cruzeiro,Defensor,D1,0.191,0.105,0.157,1.11,1.66,1.48,0.54,7.32,1.25,10.58
43,Viery,Fiorentina,Construtor,C1,0.192,0.103,0.163,1.29,2.04,4.69,0.62,6.47,0.77,12.54
44,Kayky Almeida,Remo,Defensor,D2,0.192,0.074,0.192,0.8,2.07,3.19,1.85,5.19,0.56,10.78
45,Gabriel Mercado,Internacional,Defensor,D2,0.194,0.123,0.13,1.21,1.28,3.21,1.19,5.0,0.45,9.85
46,C. Terán,Athletico Paranaense,Defensor,D2,0.194,0.105,0.162,0.88,1.36,2.56,1.28,3.83,0.73,8.39
47,Newton,São Paulo,Defensor,D1,0.196,0.084,0.196,0.57,1.33,2.67,1.32,2.82,0.0,6.81
48,N. Ferraresi,Botafogo,Defensor,D2,0.197,0.091,0.193,1.17,2.48,2.74,1.24,7.99,0.9,12.86
49,J. Aguirre,Athletico Paranaense,Defensor,D1,0.198,0.1,0.179,1.12,2.01,2.79,1.18,6.33,0.95,11.25
50,Arthur Dias,Athletico Paranaense,Construtor,C1,0.199,0.111,0.159,0.83,1.19,2.11,1.34,3.38,0.65,7.48
51,Tiago Cóser,Coritiba,Defensor,D2,0.209,0.105,0.188,1.18,2.11,2.05,0.92,6.73,1.52,11.21
52,Victor Gabriel,Internacional,Construtor,C2,0.215,0.131,0.153,1.52,1.78,3.17,0.98,6.89,0.61,11.65
53,Rafael Tolói,São Paulo,Construtor,C2,0.216,0.128,0.16,1.34,1.68,2.85,1.14,5.71,0.76,10.46
54,Lucas Oliveira,Mirassol,Defensor,D2,0.218,0.037,0.218,0.33,1.96,1.47,0.94,5.26,1.32,8.99
55,A. Saldivia,Vasco da Gama,Construtor,C1,0.233,0.095,0.233,0.92,2.26,2.92,1.62,4.1,1.05,9.69
56,Wagner Leonardo,Grêmio,Defensor,D1,0.236,0.113,0.225,1.15,2.29,2.64,1.17,5.87,0.52,10.2
57,Vitão,Flamengo,Construtor,C2,0.238,0.099,0.238,0.7,1.69,1.12,0.47,4.24,1.26,7.09
58,Gustavo Martins,Grêmio,Defensor,D1,0.242,0.121,0.22,1.1,1.99,2.13,1.34,4.84,0.75,9.06
59,Lyanco,Atlético Mineiro,Construtor,C1,0.245,0.13,0.208,1.27,2.03,2.15,1.26,5.34,0.98,9.74
60,Murilo,Palmeiras,Construtor,C2,0.252,0.137,0.209,1.18,1.8,1.89,0.97,4.87,0.87,8.6
61,Alexander Barboza,Palmeiras,Construtor,C1,0.269,0.15,0.215,1.74,2.49,3.61,1.12,6.28,0.56,11.57
62,Alix,Red Bull Bragantino,Defensor,D2,0.278,0.16,0.215,1.78,2.39,2.61,2.21,5.68,0.63,11.13
63,Victor Caetano,Chapecoense,Defensor,D2,0.286,0.095,0.286,1.0,3.0,2.76,0.97,5.27,1.53,10.52
64,C. Cuesta,Vasco da Gama,Construtor,C2,0.29,0.147,0.259,1.12,1.98,2.66,1.13,3.57,0.26,7.62
65,Bruno Gomes,Internacional,Construtor,C1,0.303,0.133,0.303,0.95,2.16,3.47,0.95,2.34,0.38,7.14
66,L. Villalba,Cruzeiro,Construtor,C2,0.31,0.187,0.224,1.55,1.86,2.49,1.27,4.13,0.42,8.31
67,Bastos,Botafogo,Defensor,D1,0.332,0.179,0.278,1.37,2.13,3.34,0.86,2.59,0.86,7.66
68,I. Román,Atlético Mineiro,Defensor,D2,0.404,0.188,0.392,2.21,4.6,4.6,1.63,5.5,0.0,11.73
69,L. Esquivel,Athletico Paranaense,Construtor,C1,0.412,0.217,0.356,1.73,2.85,3.83,0.69,3.05,0.42,7.99
70,A. Franco,Tigres UANL,Construtor,C2,0.519,0.163,0.519,0.82,2.61,2.23,1.18,1.11,0.49,5.02
71,João Paulo,Chapecoense,Construtor,C2,0.732,0.443,0.524,1.68,1.99,1.83,0.0,1.96,0.0,3.79
