rank,player_id,Jogador,Equipe,minutes,vol,eff,n_duels,eff_expected,resid_eff,conf,score_A,vol_expected,resid_vol,score_B,score_final
1,viery-fiorentina-138,Viery,Fiorentina,1323,6.73,69.70,98.93,66.04,3.66,1.00,82.39,4.76,1.97,96.48,85.92
2,ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,1778,4.61,68.13,91.07,65.59,2.54,1.00,80.99,4.49,0.12,79.58,80.63
3,f-torres-internacional-123,F. Torres,Internacional,1371,4.20,75.00,63.98,65.43,9.57,0.80,86.05,4.73,-0.53,57.04,78.79
4,jemmes-fluminense-103,Jemmes,Fluminense,1436,4.26,72.06,67.97,65.45,6.61,0.85,82.31,4.69,-0.43,62.68,77.40
5,j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,1013,4.89,72.73,55.04,65.68,7.05,0.69,78.10,4.94,-0.05,72.54,76.71
6,marllon-remo-5,Marllon,Remo,2138,4.04,67.71,95.97,65.36,2.35,1.00,78.17,4.28,-0.24,69.72,76.06
7,gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,1263,4.49,71.43,63.01,65.54,5.89,0.79,78.84,4.79,-0.30,66.90,75.86
8,sabino-s-o-paulo-97,Sabino,São Paulo,1452,4.71,67.11,75.99,65.62,1.49,0.95,72.74,4.68,0.03,76.76,73.75
9,a-fr-as-santos-253,A. Frías,Santos,863,4.48,76.74,42.96,65.54,11.20,0.54,75.71,5.03,-0.55,55.63,70.69
10,pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,1135,4.04,72.55,50.95,65.36,7.19,0.64,76.91,4.87,-0.83,45.77,69.13
11,gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,1863,3.57,67.57,73.90,65.15,2.42,0.92,77.32,4.44,-0.87,44.37,69.08
12,ign-cio-fluminense-238,Ignácio,Fluminense,920,4.11,78.57,42.01,65.39,13.18,0.53,75.89,5.00,-0.89,42.96,67.66
13,j-freytes-fluminense-39,J. Freytes,Fluminense,1776,4.16,65.85,82.09,65.41,0.44,1.00,68.31,4.49,-0.33,65.49,67.61
14,g-g-mez-palmeiras-27,G. Gómez,Palmeiras,1875,4.42,65.22,92.08,65.52,-0.30,1.00,61.27,4.43,-0.01,73.94,64.44
15,robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,2128,4.53,64.49,107.11,65.56,-1.07,1.00,57.04,4.29,0.24,83.80,63.73
16,z-ivaldo-remo-296,Zé Ivaldo,Remo,706,4.72,67.57,37.03,65.63,1.94,0.46,61.73,5.12,-0.40,64.08,62.32
17,eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,1832,3.05,69.35,62.08,64.87,4.48,0.78,76.23,4.46,-1.41,19.01,61.93
18,victor-gabriel-internacional-124,Victor Gabriel,Internacional,1364,4.95,64.00,75.02,65.70,-1.70,0.94,52.64,4.73,0.22,82.39,60.08
19,jonathan-cruzeiro-145,Jonathan,Cruzeiro,1312,4.32,65.08,62.98,65.48,-0.40,0.79,57.76,4.76,-0.44,61.27,58.64
20,gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,774,3.84,72.73,33.02,65.27,7.46,0.41,68.02,5.08,-1.24,30.28,58.59
21,david-duarte-bahia-87,David Duarte,Bahia,1534,3.58,65.57,61.02,65.15,0.42,0.76,62.89,4.63,-1.05,38.73,56.85
22,bruno-gomes-internacional-16,Bruno Gomes,Internacional,1999,5.63,61.60,125.05,65.88,-4.28,1.00,42.96,4.36,1.27,93.66,55.63
23,bastos-botafogo-337,Bastos,Botafogo,592,5.47,61.11,35.98,65.84,-4.73,0.45,44.93,5.19,0.28,86.62,55.35
24,jacy-coritiba-70,Jacy,Coritiba,1613,5.19,61.29,93.02,65.77,-4.48,1.00,41.55,4.59,0.60,90.85,53.87
25,c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,1125,3.92,65.31,49.00,65.31,-0.00,0.61,57.76,4.87,-0.95,40.14,53.36
26,kayky-almeida-remo-341,Kayky Almeida,Remo,565,5.26,60.61,33.02,65.79,-5.18,0.41,44.19,5.20,0.06,78.17,52.68
27,willian-machado-mirassol-73,Willian Machado,Mirassol,1600,4.11,63.01,73.07,65.39,-2.38,0.91,48.71,4.60,-0.49,59.86,51.50
28,bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,598,4.06,66.67,26.98,65.37,1.30,0.34,57.12,5.18,-1.12,34.51,51.47
29,f-balbuena-gr-mio-306,F. Balbuena,Grêmio,676,3.59,70.37,26.96,65.16,5.21,0.34,61.87,5.14,-1.55,14.79,50.10
30,r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,685,4.34,63.64,33.03,65.49,-1.85,0.41,50.58,5.13,-0.79,48.59,50.08
31,arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,1961,3.30,63.89,71.90,65.01,-1.12,0.90,53.80,4.38,-1.08,37.32,49.68
32,rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,537,4.53,62.96,27.03,65.56,-2.60,0.34,49.05,5.22,-0.69,51.41,49.64
33,fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,2013,3.22,63.89,72.02,64.97,-1.08,0.90,55.07,4.35,-1.13,33.10,49.58
34,luan-peres-santos-118,Luan Peres,Santos,1377,3.92,63.33,59.98,65.31,-1.98,0.75,50.00,4.73,-0.81,47.18,49.30
35,gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,500,3.60,75.00,20.00,65.16,9.84,0.25,61.62,5.24,-1.64,11.97,49.21
36,newton-s-o-paulo-370,Newton,São Paulo,472,4.00,66.67,20.98,65.35,1.32,0.26,55.91,5.26,-1.26,28.87,49.15
37,l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,1618,2.78,66.00,49.98,64.71,1.29,0.62,62.32,4.58,-1.80,7.75,48.68
38,alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,1445,6.10,59.18,97.94,65.97,-6.79,1.00,33.10,4.69,1.41,95.07,48.59
39,camutanga-vit-ria-301,Camutanga,Vitória,696,3.23,72.00,24.98,64.97,7.03,0.31,62.31,5.13,-1.90,6.34,48.32
40,luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,1224,3.16,65.12,42.98,64.93,0.19,0.54,58.32,4.82,-1.66,10.56,46.38
41,vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,621,3.77,65.38,26.01,65.24,0.14,0.33,54.58,5.17,-1.40,20.42,46.04
42,gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,1754,2.87,64.29,55.93,64.77,-0.48,0.70,55.91,4.50,-1.63,13.38,45.28
43,a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,1078,5.18,56.45,62.04,65.77,-9.32,0.78,30.34,4.90,0.28,85.21,44.06
44,l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,1456,6.68,57.41,108.07,66.03,-8.62,1.00,26.06,4.68,2.00,97.89,44.01
45,c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,1048,4.64,57.41,54.03,65.60,-8.19,0.68,35.73,4.92,-0.28,68.31,43.88
46,i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,489,9.20,50.00,49.99,65.81,-15.81,0.62,25.36,5.25,3.95,99.30,43.84
47,wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,785,4.93,53.49,43.00,65.69,-12.20,0.54,34.10,5.07,-0.14,71.13,43.36
48,j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,1611,4.80,58.14,85.92,65.65,-7.51,1.00,30.28,4.59,0.21,80.99,42.96
49,andr-ramalho-corinthians-318,André Ramalho,Corinthians,647,2.50,66.67,17.97,64.54,2.13,0.22,56.01,5.16,-2.66,0.70,42.18
50,l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,869,4.35,57.14,42.00,65.49,-8.35,0.53,38.17,5.03,-0.68,52.82,41.83
51,victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,719,5.76,47.83,46.02,65.91,-18.08,0.58,24.08,5.11,0.65,92.25,41.12
52,cac-vit-ria-84,Cacá,Vitória,1548,3.26,60.71,56.07,64.99,-4.28,0.70,46.05,4.63,-1.37,24.65,40.70
53,jo-o-victor-mirassol-2,João Victor,Mirassol,2167,2.74,60.61,65.97,64.69,-4.08,0.82,46.52,4.26,-1.52,16.20,38.94
54,l-o-pereira-flamengo-48,Léo Pereira,Flamengo,1722,3.40,60.00,65.05,65.06,-5.06,0.81,39.69,4.52,-1.12,35.92,38.75
55,lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,711,4.18,51.52,33.02,65.42,-13.90,0.41,34.88,5.12,-0.94,41.55,36.55
56,n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,1380,5.22,52.50,80.04,65.78,-13.28,1.00,17.61,4.72,0.50,89.44,35.56
57,maicon-coritiba-181,Maicon,Coritiba,1146,2.75,60.00,35.02,64.70,-4.70,0.44,45.68,4.86,-2.11,3.52,35.14
58,alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,1620,5.00,52.22,90.00,65.72,-13.50,1.00,16.20,4.58,0.42,88.03,34.15
59,d-tchamba-remo-109,D. Tchamba,Remo,1416,3.31,57.69,52.08,65.01,-7.32,0.65,38.08,4.70,-1.39,21.83,34.02
60,gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,1700,3.02,59.65,57.04,64.85,-5.20,0.71,38.95,4.54,-1.52,17.61,33.62
61,jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,589,3.82,48.00,25.00,65.27,-17.27,0.31,36.80,5.19,-1.37,23.24,33.41
62,jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,488,3.14,47.06,17.03,64.92,-17.86,0.21,40.71,5.25,-2.11,4.93,31.76
63,gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,1311,4.12,51.67,60.01,65.40,-13.73,0.75,23.59,4.77,-0.65,54.23,31.25
64,bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,1478,3.35,54.55,55.01,65.03,-10.48,0.69,31.60,4.67,-1.32,27.46,30.56
65,lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,551,3.43,42.86,21.00,65.08,-22.22,0.26,37.43,5.21,-1.78,9.15,30.36
66,lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,1325,3.53,51.92,51.97,65.13,-13.21,0.65,29.87,4.76,-1.23,31.69,30.33
