rank,Jogador,Equipe,perfil,rating,share_def,share_con,share_comb
1,Léo Pereira,Flamengo,Construtor,7.9,7.1,85.9,7.0
1,Pedro Henrique,Red Bull Bragantino,Construtor,7.9,21.5,70.3,8.2
3,Léo Ortiz,Flamengo,Construtor,7.8,5.6,88.1,6.2
4,Fabricio Bruno,Cruzeiro,Construtor,7.7,19.4,74.0,6.6
5,Willian Machado,Mirassol,Defensor de Área,7.6,70.4,20.0,9.6
6,David Duarte,Bahia,Defensor de Área,7.4,67.2,22.9,9.9
7,João Victor,Mirassol,Defensor de Área,7.3,90.7,5.0,4.2
7,Arthur Dias,Athletico Paranaense,Construtor,7.3,4.9,74.8,20.3
9,F. Torres,Internacional,Combativo,7.2,17.2,12.9,69.9
10,Robert Renan,Vasco da Gama,Construtor,7.1,3.5,79.4,17.1
10,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,7.1,76.6,11.6,11.8
10,Júnior Alonso,Atlanta United,Combativo,7.1,18.3,11.6,70.1
10,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,7.1,85.8,7.1,7.1
14,Eduardo Doma,Chapecoense,Defensor de Área,7.0,63.5,26.3,10.3
14,Sabino,São Paulo,Defensor de Área,7.0,64.8,22.9,12.2
14,Ignácio,Fluminense,Defensor de Área,7.0,77.5,9.2,13.3
17,A. Frías,Santos,Combativo,6.9,7.1,5.3,87.6
17,Zé Ivaldo,Remo,Combativo,6.9,13.5,13.9,72.6
19,Murilo,Palmeiras,Construtor,6.8,22.3,67.8,9.9
19,J. Freytes,Fluminense,Construtor,6.8,10.7,76.2,13.1
19,Viery,Fiorentina,Combativo,6.8,13.5,39.6,46.9
19,Luan Cândido,Vitória,Defensor de Área,6.8,74.7,10.1,15.2
19,L. Villalba,Cruzeiro,Construtor,6.8,3.5,85.8,10.6
24,G. Gómez,Palmeiras,Defensor de Área,6.7,83.3,7.8,8.9
24,Jacy,Coritiba,Defensor de Área,6.7,83.8,5.7,10.5
24,Alexander Barboza,Palmeiras,Combativo,6.7,18.6,41.1,40.3
24,R. Arboleda,São Paulo,Defensor de Área,6.7,77.2,11.2,11.6
24,João Paulo,Chapecoense,Construtor,6.7,5.0,89.2,5.9
24,Kayky Almeida,Remo,Combativo,6.7,5.0,16.6,78.4
30,S. Ramos Mingo,Bahia,Construtor,6.6,15.5,73.5,11.0
30,N. Ferraresi,Botafogo,Defensor de Área,6.6,73.8,11.1,15.1
30,F. Balbuena,Grêmio,Combativo,6.6,4.6,21.1,74.3
30,André Ramalho,Corinthians,Construtor,6.6,11.5,84.1,4.5
34,J. Aguirre,Athletico Paranaense,Defensor de Área,6.5,78.3,4.4,17.3
34,Luan Peres,Santos,Defensor de Área,6.5,67.4,21.0,11.6
34,Jonathan,Cruzeiro,Combativo,6.5,5.4,3.2,91.4
34,Gustavo Martins,Grêmio,Defensor de Área,6.5,64.5,15.2,20.2
34,Gabriel Mercado,Internacional,Combativo,6.5,13.6,17.5,68.9
34,A. Saldivia,Vasco da Gama,Combativo,6.5,11.6,21.6,66.8
34,Vitor Hugo,Atlético Mineiro,Combativo,6.5,23.4,7.5,69.1
34,Rafael Tolói,São Paulo,Defensor de Área,6.5,61.1,19.0,19.9
42,D. Tchamba,Remo,Defensor de Área,6.4,72.5,21.8,5.7
42,Bruno Fuchs,Palmeiras,Construtor,6.4,7.5,73.5,19.0
44,Gabriel Justino,Botafogo,Defensor de Área,6.3,79.6,7.7,12.7
44,Camutanga,Vitória,Defensor de Área,6.3,78.2,11.5,10.2
46,Bruno Gomes,Internacional,Combativo,6.2,2.4,24.9,72.7
46,Alix,Red Bull Bragantino,Combativo,6.2,7.8,9.2,83.0
46,C. Cuesta,Vasco da Gama,Construtor,6.2,4.2,72.8,23.0
46,Victor Caetano,Chapecoense,Defensor de Área,6.2,63.5,14.9,21.6
46,I. Román,Atlético Mineiro,Combativo,6.2,1.5,1.4,97.0
51,Gabriel Paulista,Corinthians,Defensor de Área,6.1,65.7,21.9,12.5
51,Maicon,Coritiba,Defensor de Área,6.1,85.5,8.4,6.1
53,Jemmes,Fluminense,Combativo,6.0,23.4,9.0,67.6
53,Bastos,Botafogo,Combativo,6.0,3.2,5.3,91.5
55,Marllon,Remo,Defensor de Área,5.9,66.1,11.2,22.7
55,Gustavo Henrique,Corinthians,Defensor de Área,5.9,76.9,10.5,12.6
55,Victor Gabriel,Internacional,Construtor,5.9,19.6,73.1,7.2
55,Lyanco,Atlético Mineiro,Defensor de Área,5.9,65.0,17.5,17.5
55,João Marcelo,Cruzeiro,Defensor de Área,5.9,83.6,12.9,3.5
60,Bruno Leonardo,Chapecoense,Defensor de Área,5.8,75.9,8.7,15.4
60,L. Esquivel,Athletico Paranaense,Combativo,5.8,1.0,23.9,75.1
60,Newton,São Paulo,Combativo,5.8,3.5,4.4,92.1
63,Wagner Leonardo,Grêmio,Combativo,5.7,12.4,10.8,76.7
63,Lucas Oliveira,Mirassol,Defensor de Área,5.7,59.7,22.4,18.0
65,Lucas Veríssimo,Santos,Defensor de Área,5.6,78.1,7.0,15.0
65,Vitão,Flamengo,Defensor de Área,5.6,68.4,24.4,7.2
67,Gustavo Marques,Red Bull Bragantino,Defensor de Área,5.5,63.8,25.3,10.9
67,Tiago Cóser,Coritiba,Defensor de Área,5.5,87.6,4.1,8.2
69,Cacá,Vitória,Defensor de Área,5.4,88.4,6.8,4.8
70,C. Terán,Athletico Paranaense,Combativo,5.3,11.9,18.3,69.7
71,A. Franco,Tigres UANL,Combativo,5.1,3.8,14.8,81.3
