rank_m8,Jogador,m8_final,nota_linear,nota_clip
1,Léo Pereira,81.982,9.195,9.195
2,Léo Ortiz,74.959,8.522,8.522
3,Pedro Henrique,70.987,8.142,8.142
4,Fabricio Bruno,70.027,8.050,8.050
5,Arthur Dias,68.880,7.940,7.940
6,Eduardo Doma,65.677,7.633,7.633
7,Bruno Gomes,65.464,7.612,7.612
8,Willian Machado,63.161,7.392,7.392
9,David Duarte,62.690,7.347,7.347
10,Júnior Alonso,61.597,7.242,7.242
11,A. Frías,61.483,7.231,7.231
12,L. Villalba,61.063,7.191,7.191
13,Ruan Tressoldi,60.911,7.176,7.176
14,F. Torres,60.891,7.174,7.174
15,S. Ramos Mingo,60.716,7.158,7.158
16,Robert Renan,60.202,7.108,7.108
17,Ignácio,59.921,7.081,7.081
18,Jacy,59.647,7.055,7.055
19,Gabriel Xavier,59.286,7.021,7.021
20,João Victor,59.281,7.020,7.020
21,Luan Cândido,57.891,6.887,6.887
22,Gabriel Mercado,57.660,6.865,6.865
23,J. Freytes,57.656,6.864,6.864
24,Zé Ivaldo,56.942,6.796,6.796
25,R. Arboleda,56.729,6.776,6.776
26,F. Balbuena,56.529,6.756,6.756
27,Gustavo Martins,56.374,6.742,6.742
28,Alexander Barboza,56.212,6.726,6.726
29,G. Gómez,55.575,6.665,6.665
30,Sabino,55.055,6.615,6.615
31,N. Ferraresi,54.994,6.609,6.609
32,Luan Peres,54.162,6.530,6.530
33,J. Aguirre,53.799,6.495,6.495
34,Vitor Hugo,53.512,6.467,6.467
35,Rafael Tolói,53.496,6.466,6.466
36,Kayky Almeida,53.133,6.431,6.431
37,Jemmes,52.939,6.412,6.412
38,Camutanga,52.856,6.404,6.404
39,Gabriel Justino,52.512,6.371,6.371
40,Jonathan,52.463,6.367,6.367
41,Bruno Fuchs,52.376,6.358,6.358
42,André Ramalho,52.303,6.351,6.351
43,João Marcelo,52.262,6.348,6.348
44,Alix,52.171,6.339,6.339
45,A. Saldivia,51.728,6.296,6.296
46,C. Cuesta,51.223,6.248,6.248
47,D. Tchamba,51.107,6.237,6.237
48,Murilo,51.036,6.230,6.230
49,I. Román,49.959,6.127,6.127
50,João Paulo,48.956,6.031,6.031
51,Marllon,48.602,5.997,5.997
52,Gabriel Paulista,48.346,5.972,5.972
53,Victor Gabriel,48.255,5.964,5.964
54,Maicon,47.595,5.900,5.900
55,Lyanco,47.270,5.869,5.869
56,Victor Caetano,47.094,5.852,5.852
57,Gustavo Henrique,46.709,5.815,5.815
58,L. Esquivel,46.411,5.787,5.787
59,Newton,45.153,5.666,5.666
60,Bastos,45.043,5.656,5.656
61,Lucas Veríssimo,44.803,5.633,5.633
62,Lucas Oliveira,44.657,5.619,5.619
63,Bruno Leonardo,44.369,5.591,5.591
64,Viery,44.309,5.585,5.585
65,Vitão,43.027,5.463,5.463
66,Gustavo Marques,41.445,5.311,5.311
67,Wagner Leonardo,40.492,5.220,5.220
68,Tiago Cóser,40.244,5.196,5.196
69,C. Terán,38.706,5.049,5.049
70,Cacá,37.613,4.944,4.944
71,A. Franco,31.021,4.312,4.312
