player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m8_pre_shrink,m8_bonus,m8_raw,m8_final,rank_m8,nota_global,nota_perfil
l-o-pereira-flamengo-48,Léo Pereira,Flamengo,32.610,31.810,92.960,94.370,29.440,56.240,0.790,1722,0.858,55.370,14,Construtor,93.665,31.287,Construtor,87.278,0.000,87.278,81.982,1,8.082,7.853
l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,40.580,57.750,73.240,97.180,40.990,61.950,0.750,1618,0.829,59.880,5,Construtor,85.210,46.440,Construtor,80.091,0.000,80.091,74.959,2,7.872,7.525
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,75.430,60.560,81.210,84.200,86.620,77.610,0.520,1135,0.654,68.130,1,Construtor,82.705,74.203,Construtor,81.430,0.673,82.103,70.987,3,7.702,7.283
fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,42.470,85.920,70.420,77.460,34.510,62.160,0.930,2013,0.954,61.590,3,Construtor,73.940,54.300,Construtor,70.994,0.000,70.994,70.027,4,7.654,7.219
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,42.600,15.890,56.340,90.850,42.680,49.670,0.900,1961,0.934,49.690,38,Construtor,73.595,33.723,Construtor,70.218,0.000,70.218,68.880,5,7.593,7.139
eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,52.710,28.870,49.300,90.850,75.630,59.470,0.850,1832,0.900,58.490,7,Construtor,70.075,52.403,Construtor,67.424,0.000,67.424,65.677,6,7.405,6.904
bruno-gomes-internacional-16,Bruno Gomes,Internacional,64.080,13.380,81.690,56.340,40.420,51.180,0.920,1999,0.947,51.120,32,Construtor,69.015,39.293,Construtor,66.325,0.000,66.325,65.464,7,7.391,6.888
willian-machado-mirassol-73,Willian Machado,Mirassol,46.660,83.100,60.560,70.490,69.440,66.050,0.740,1600,0.822,63.180,2,Híbrido,65.525,66.400,Híbrido,66.006,0.000,66.006,63.161,8,7.237,7.755
david-duarte-bahia-87,David Duarte,Bahia,50.110,99.300,67.250,38.330,55.070,62.010,0.710,1534,0.800,59.600,6,Posicional,52.790,68.160,Defensivo,65.854,0.000,65.854,62.690,9,7.204,7.466
j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,86.850,52.820,50.650,28.230,77.040,59.120,0.470,1013,0.612,55.560,11,Posicional,39.440,72.237,Defensivo,68.944,0.000,68.944,61.597,10,7.125,7.354
