rank_m8,Jogador,m8_final,nota_linear,nota_tanh
1,Léo Pereira,81.982,9.195,8.087
2,Léo Ortiz,74.959,8.522,7.878
3,Pedro Henrique,70.987,8.142,7.708
4,Fabricio Bruno,70.027,8.050,7.660
5,Arthur Dias,68.880,7.940,7.599
6,Eduardo Doma,65.677,7.633,7.410
7,Bruno Gomes,65.464,7.612,7.397
8,Willian Machado,63.161,7.392,7.242
9,David Duarte,62.690,7.347,7.208
10,Júnior Alonso,61.597,7.242,7.129
11,A. Frías,61.483,7.231,7.120
12,L. Villalba,61.063,7.191,7.089
13,Ruan Tressoldi,60.911,7.176,7.078
14,F. Torres,60.891,7.174,7.076
15,S. Ramos Mingo,60.716,7.158,7.063
16,Robert Renan,60.202,7.108,7.024
17,Ignácio,59.921,7.081,7.002
18,Jacy,59.647,7.055,6.981
19,Gabriel Xavier,59.286,7.021,6.952
20,João Victor,59.281,7.020,6.952
21,Luan Cândido,57.891,6.887,6.841
22,Gabriel Mercado,57.660,6.865,6.823
23,J. Freytes,57.656,6.864,6.822
24,Zé Ivaldo,56.942,6.796,6.764
25,R. Arboleda,56.729,6.776,6.747
26,F. Balbuena,56.529,6.756,6.730
27,Gustavo Martins,56.374,6.742,6.717
28,Alexander Barboza,56.212,6.726,6.704
29,G. Gómez,55.575,6.665,6.651
30,Sabino,55.055,6.615,6.608
31,N. Ferraresi,54.994,6.609,6.603
32,Luan Peres,54.162,6.530,6.534
33,J. Aguirre,53.799,6.495,6.503
34,Vitor Hugo,53.512,6.467,6.480
35,Rafael Tolói,53.496,6.466,6.478
36,Kayky Almeida,53.133,6.431,6.448
37,Jemmes,52.939,6.412,6.432
38,Camutanga,52.856,6.404,6.425
39,Gabriel Justino,52.512,6.371,6.396
40,Jonathan,52.463,6.367,6.392
41,Bruno Fuchs,52.376,6.358,6.385
42,André Ramalho,52.303,6.351,6.379
43,João Marcelo,52.262,6.348,6.376
44,Alix,52.171,6.339,6.368
45,A. Saldivia,51.728,6.296,6.331
46,C. Cuesta,51.223,6.248,6.290
47,D. Tchamba,51.107,6.237,6.280
48,Murilo,51.036,6.230,6.274
49,I. Román,49.959,6.127,6.186
50,João Paulo,48.956,6.031,6.106
51,Marllon,48.602,5.997,6.078
52,Gabriel Paulista,48.346,5.972,6.058
53,Victor Gabriel,48.255,5.964,6.051
54,Maicon,47.595,5.900,5.999
55,Lyanco,47.270,5.869,5.974
56,Victor Caetano,47.094,5.852,5.961
57,Gustavo Henrique,46.709,5.815,5.932
58,L. Esquivel,46.411,5.787,5.910
59,Newton,45.153,5.666,5.817
60,Bastos,45.043,5.656,5.810
61,Lucas Veríssimo,44.803,5.633,5.792
62,Lucas Oliveira,44.657,5.619,5.782
63,Bruno Leonardo,44.369,5.591,5.762
64,Viery,44.309,5.585,5.758
65,Vitão,43.027,5.463,5.670
66,Gustavo Marques,41.445,5.311,5.569
67,Wagner Leonardo,40.492,5.220,5.511
68,Tiago Cóser,40.244,5.196,5.497
69,C. Terán,38.706,5.049,5.410
70,Cacá,37.613,4.944,5.353
71,A. Franco,31.021,4.312,5.077
