player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m8_pre_shrink,m8_bonus,m8_raw,m8_final,rank_m8
l-o-pereira-flamengo-48,Léo Pereira,Flamengo,32.61,31.81,92.96,94.37,29.44,56.24,0.79,1722,0.86,55.37,14,Construtor,93.66,31.29,Construtor,87.28,0.00,87.28,81.98,1
l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,40.58,57.75,73.24,97.18,40.99,61.95,0.75,1618,0.83,59.88,5,Construtor,85.21,46.44,Construtor,80.09,0.00,80.09,74.96,2
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,75.43,60.56,81.21,84.20,86.62,77.61,0.52,1135,0.65,68.13,1,Construtor,82.70,74.20,Construtor,81.43,0.67,82.10,70.99,3
fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,42.47,85.92,70.42,77.46,34.51,62.16,0.93,2013,0.95,61.59,3,Construtor,73.94,54.30,Construtor,70.99,0.00,70.99,70.03,4
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,42.60,15.89,56.34,90.85,42.68,49.67,0.90,1961,0.93,49.69,38,Construtor,73.59,33.72,Construtor,70.22,0.00,70.22,68.88,5
eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,52.71,28.87,49.30,90.85,75.63,59.47,0.85,1832,0.90,58.49,7,Construtor,70.07,52.40,Construtor,67.42,0.00,67.42,65.68,6
bruno-gomes-internacional-16,Bruno Gomes,Internacional,64.08,13.38,81.69,56.34,40.42,51.18,0.92,1999,0.95,51.12,32,Construtor,69.02,39.29,Construtor,66.33,0.00,66.33,65.46,7
willian-machado-mirassol-73,Willian Machado,Mirassol,46.66,83.10,60.56,70.49,69.44,66.05,0.74,1600,0.82,63.18,2,Híbrido,65.53,66.40,Híbrido,66.01,0.00,66.01,63.16,8
david-duarte-bahia-87,David Duarte,Bahia,50.11,99.30,67.25,38.33,55.07,62.01,0.71,1534,0.80,59.60,6,Posicional,52.79,68.16,Defensivo,65.85,0.00,65.85,62.69,9
j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,86.85,52.82,50.65,28.23,77.04,59.12,0.47,1013,0.61,55.56,11,Posicional,39.44,72.24,Defensivo,68.94,0.00,68.94,61.60,10
a-fr-as-santos-253,A. Frías,Santos,83.28,61.08,22.54,21.62,79.01,53.51,0.40,863,0.55,51.93,27,Posicional,22.08,74.46,Defensivo,70.83,0.00,70.83,61.48,11
l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,40.93,16.17,57.49,89.35,22.11,45.21,0.40,869,0.55,47.36,48,Construtor,73.42,26.40,Construtor,70.07,0.00,70.07,61.06,12
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,78.87,29.58,48.89,41.20,85.21,56.75,0.82,1778,0.88,55.93,10,Posicional,45.05,64.55,Defensivo,62.41,0.00,62.41,60.91,13
f-torres-internacional-123,F. Torres,Internacional,82.67,35.21,51.99,52.02,82.96,60.97,0.63,1371,0.74,58.15,8,Posicional,52.01,66.95,Defensivo,64.71,0.00,64.71,60.89,14
