player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,archetype,m8_raw,m8_final,nota_global,nota_perfil,rank_perfil,rank_global
l-o-pereira-flamengo-48,Léo Pereira,Flamengo,32.610,31.810,92.960,94.370,29.440,56.240,0.790,1722,0.860,55.370,14,Construtor,74.951,71.407,7.932,7.754,1.000,1
jo-o-victor-mirassol-2,João Victor,Mirassol,30.030,83.800,60.560,68.370,61.270,60.810,1.000,2167,1.000,60.810,4,Defensor de Área,62.420,62.420,7.399,7.696,1.000,8
f-torres-internacional-123,F. Torres,Internacional,82.670,35.210,51.990,52.020,82.960,60.970,0.630,1371,0.740,58.150,8,Combativo,71.849,66.181,7.663,7.684,1.000,5
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,75.430,60.560,81.210,84.200,86.620,77.610,0.520,1135,0.660,68.130,1,Construtor,80.154,69.713,7.856,7.663,2.000,2
l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,40.580,57.750,73.240,97.180,40.990,61.950,0.750,1618,0.830,59.880,5,Construtor,73.579,69.558,7.849,7.654,3.000,3
j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,86.850,52.820,50.650,28.230,77.040,59.120,0.470,1013,0.610,55.560,11,Combativo,72.003,63.469,7.479,7.514,2.000,6
fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,42.470,85.920,70.420,77.460,34.510,62.160,0.930,2013,0.950,61.590,3,Construtor,68.048,67.216,7.725,7.510,4.000,4
gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,57.750,82.340,41.470,68.230,92.540,68.460,0.230,500,0.390,57.120,9,Defensor de Área,74.984,59.611,7.164,7.460,2.000,12
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,78.870,29.580,48.890,41.200,85.210,56.750,0.820,1778,0.880,55.930,10,Defensor de Área,59.220,58.104,7.027,7.312,3.000,15
gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,83.290,17.210,59.020,66.280,43.240,53.810,0.580,1263,0.700,52.680,22,Combativo,64.544,60.207,7.216,7.273,3.000,10
a-fr-as-santos-253,A. Frías,Santos,83.280,61.080,22.540,21.620,79.010,53.510,0.400,863,0.550,51.930,27,Combativo,67.966,59.904,7.190,7.248,4.000,11
ign-cio-fluminense-238,Ignácio,Fluminense,81.960,60.560,32.040,41.050,68.870,56.900,0.420,920,0.570,53.950,16,Defensor de Área,62.530,57.130,6.934,7.208,4.000,17
willian-machado-mirassol-73,Willian Machado,Mirassol,46.660,83.100,60.560,70.490,69.440,66.050,0.740,1600,0.820,63.180,2,Construtor,65.787,62.981,7.442,7.201,5.000,7
luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,43.650,79.900,35.920,37.820,66.900,52.840,0.560,1224,0.690,51.960,26,Defensor de Área,60.144,56.959,6.918,7.190,5.000,18
z-ivaldo-remo-296,Zé Ivaldo,Remo,73.470,48.580,48.780,43.640,78.170,58.530,0.330,706,0.480,54.110,15,Combativo,66.469,58.011,7.018,7.089,5.000,16
jacy-coritiba-70,Jacy,Coritiba,59.860,50.700,27.820,28.820,80.700,49.580,0.740,1613,0.830,49.650,40,Defensor de Área,57.056,55.802,6.804,7.059,6.000,20
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,42.600,15.890,56.340,90.850,42.680,49.670,0.900,1961,0.940,49.690,38,Construtor,61.633,60.863,7.273,7.026,6.000,9
r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,56.340,78.110,31.000,39.350,65.210,54.000,0.320,685,0.470,51.890,28,Defensor de Área,61.299,55.388,6.763,7.010,7.000,22
eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,52.710,28.870,49.300,90.850,75.630,59.470,0.850,1832,0.900,58.490,7,Defensor de Área,55.907,55.315,6.756,7.001,8.000,25
bruno-gomes-internacional-16,Bruno Gomes,Internacional,64.080,13.380,81.690,56.340,40.420,51.180,0.920,1999,0.950,51.120,32,Construtor,60.099,59.566,7.160,6.913,7.000,13
jemmes-fluminense-103,Jemmes,Fluminense,79.430,35.210,17.430,19.000,51.410,40.500,0.660,1436,0.770,42.730,64,Combativo,57.161,55.466,6.771,6.860,6.000,21
g-g-mez-palmeiras-27,G. Gómez,Palmeiras,64.080,59.860,29.100,59.290,48.870,52.240,0.870,1875,0.910,52.040,24,Defensor de Área,54.274,53.904,6.614,6.830,9.000,31
robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,62.680,40.850,85.210,38.730,49.720,55.440,0.980,2128,0.990,55.370,13,Construtor,58.704,58.590,7.072,6.826,8.000,14
jonathan-cruzeiro-145,Jonathan,Cruzeiro,60.670,31.770,38.390,49.990,72.250,50.610,0.610,1312,0.720,50.440,35,Combativo,56.800,54.931,6.718,6.810,7.000,28
luan-peres-santos-118,Luan Peres,Santos,46.300,60.500,44.770,32.030,64.080,49.540,0.640,1377,0.740,49.660,39,Defensor de Área,54.314,53.228,6.545,6.745,10.000,33
marllon-remo-5,Marllon,Remo,66.900,24.650,43.100,21.410,58.730,42.960,0.990,2138,0.990,43.020,63,Combativo,54.112,54.085,6.632,6.730,8.000,30
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,47.130,64.310,51.860,27.550,66.620,51.490,0.290,621,0.440,50.660,34,Defensor de Área,56.646,52.972,6.520,6.713,11.000,36
j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,45.770,66.200,40.070,38.920,55.070,49.210,0.740,1611,0.820,49.350,42,Defensor de Área,53.434,52.824,6.504,6.694,12.000,37
n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,33.100,50.000,67.600,58.210,64.080,54.600,0.640,1380,0.750,53.430,19,Defensor de Área,53.425,52.563,6.478,6.661,13.000,38
d-tchamba-remo-109,D. Tchamba,Remo,31.540,35.210,40.850,46.800,91.690,49.220,0.650,1416,0.760,49.410,41,Defensor de Área,53.143,52.375,6.459,6.637,14.000,39
david-duarte-bahia-87,David Duarte,Bahia,50.110,99.300,67.250,38.330,55.070,62.010,0.710,1534,0.800,59.600,6,Construtor,57.401,55.924,6.816,6.582,9.000,19
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,59.860,65.490,59.150,59.150,30.280,54.790,0.670,1445,0.770,53.680,17,Construtor,56.968,55.371,6.762,6.530,10.000,23
f-balbuena-gr-mio-306,F. Balbuena,Grêmio,52.880,42.370,72.780,58.200,60.700,57.390,0.310,676,0.470,53.460,18,Construtor,61.438,55.342,6.759,6.528,11.000,24
l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,40.930,16.170,57.490,89.350,22.110,45.210,0.400,869,0.550,47.360,48,Construtor,59.315,55.135,6.738,6.508,12.000,26
j-freytes-fluminense-39,J. Freytes,Fluminense,61.270,35.210,51.410,69.010,39.860,51.350,0.820,1776,0.880,51.190,31,Construtor,55.781,55.081,6.733,6.503,13.000,27
camutanga-vit-ria-301,Camutanga,Vitória,48.670,50.700,24.490,32.490,73.100,45.890,0.320,696,0.480,48.040,47,Defensor de Área,52.572,51.226,6.343,6.490,15.000,44
murilo-palmeiras-24,Murilo,Palmeiras,20.110,58.450,74.650,52.510,29.150,46.970,0.880,1900,0.920,47.220,50,Construtor,55.277,54.856,6.710,6.483,14.000,29
rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,57.970,66.960,51.220,68.420,30.280,54.970,0.250,537,0.400,52.010,25,Combativo,53.701,51.503,6.371,6.482,9.000,42
bastos-botafogo-337,Bastos,Botafogo,66.230,20.710,66.720,66.170,13.380,46.640,0.270,592,0.430,48.560,45,Combativo,51.151,50.491,6.269,6.384,10.000,46
jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,26.450,83.630,55.220,73.070,23.800,52.440,0.270,589,0.430,51.040,33,Construtor,58.289,53.539,6.577,6.361,15.000,32
gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,28.690,81.690,78.060,66.100,17.890,54.490,0.600,1311,0.720,53.240,20,Defensor de Área,50.028,50.020,6.222,6.335,16.000,47
sabino-s-o-paulo-97,Sabino,São Paulo,75.490,60.560,62.680,39.620,46.900,57.050,0.670,1452,0.770,55.430,12,Construtor,54.100,53.160,6.539,6.326,16.000,34
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,19.790,33.100,78.870,47.180,37.320,43.250,0.930,2019,0.960,43.560,62,Construtor,53.139,52.994,6.522,6.311,17.000,35
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,66.180,24.510,27.380,24.860,78.450,44.270,0.360,774,0.510,47.070,51,Defensor de Área,49.348,49.664,6.187,6.290,17.000,48
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,58.540,59.440,23.060,37.460,36.200,42.940,0.230,489,0.380,47.320,49,Combativo,48.506,49.425,6.164,6.283,11.000,49
andr-ramalho-corinthians-318,André Ramalho,Corinthians,32.900,87.890,84.020,26.380,41.550,54.550,0.300,647,0.460,52.070,23,Construtor,54.874,52.229,6.444,6.241,18.000,40
kayky-almeida-remo-341,Kayky Almeida,Remo,63.410,63.070,42.940,62.470,52.540,56.890,0.260,565,0.420,52.870,21,Construtor,54.795,51.998,6.421,6.220,19.000,41
