player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m2_raw,m3_raw,m6_raw,m8_raw,m0_final,m2_final,m3_final,m6_final,m8_final,rank_m0,rank_m2,rank_m3,rank_m6,rank_m8
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,75.43,60.56,81.21,84.20,86.62,77.61,0.52,1135,0.66,68.13,1,Construtor,82.70,74.20,Construtor,81.43,72.49,75.22,82.10,68.13,70.55,64.70,66.48,70.99,1,3,1,2,3
willian-machado-mirassol-73,Willian Machado,Mirassol,46.66,83.10,60.56,70.49,69.44,66.05,0.74,1600,0.82,63.18,2,Híbrido,65.53,66.40,Híbrido,66.01,60.23,65.53,66.01,63.18,63.16,58.41,62.77,63.16,2,8,2,4,8
fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,42.47,85.92,70.42,77.46,34.51,62.16,0.93,2013,0.95,61.59,3,Construtor,73.94,54.30,Construtor,70.99,53.74,68.96,70.99,61.59,70.03,53.57,68.09,70.03,3,4,6,1,4
jo-o-victor-mirassol-2,João Victor,Mirassol,30.03,83.80,60.56,68.37,61.27,60.81,1.00,2167,1.00,60.81,4,Posicional,64.47,58.37,Defensivo,59.28,50.33,61.75,59.28,60.81,59.28,50.33,61.75,59.28,4,20,13,7,20
l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,40.58,57.75,73.24,97.18,40.99,61.95,0.75,1618,0.83,59.88,5,Construtor,85.21,46.44,Construtor,80.09,55.54,69.18,80.09,59.88,74.96,54.59,65.91,74.96,5,2,3,3,2
david-duarte-bahia-87,David Duarte,Bahia,50.11,99.30,67.25,38.33,55.07,62.01,0.71,1534,0.80,59.60,6,Posicional,52.79,68.16,Defensivo,65.85,54.91,65.02,65.85,59.60,62.69,53.93,62.02,62.69,6,9,5,6,9
eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,52.71,28.87,49.30,90.85,75.63,59.47,0.85,1832,0.90,58.49,7,Construtor,70.07,52.40,Construtor,67.42,48.76,56.22,67.42,58.49,65.68,48.88,55.60,65.68,7,6,16,15,6
f-torres-internacional-123,F. Torres,Internacional,82.67,35.21,51.99,52.02,82.96,60.97,0.63,1371,0.74,58.15,8,Posicional,52.01,66.95,Defensivo,64.71,53.24,55.54,64.71,58.15,60.89,52.40,54.11,60.89,8,14,7,21,14
gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,57.75,82.34,41.47,68.23,92.54,68.46,0.23,500,0.39,57.12,9,Posicional,54.85,77.54,Defensivo,74.14,60.37,68.18,74.14,57.12,59.29,53.99,56.99,59.29,9,19,4,11,19
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,78.87,29.58,48.89,41.20,85.21,56.75,0.82,1778,0.88,55.93,10,Posicional,45.05,64.55,Defensivo,62.41,47.24,51.55,62.41,55.93,60.91,47.58,51.36,60.91,10,13,22,36,13
j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,86.85,52.82,50.65,28.23,77.04,59.12,0.47,1013,0.61,55.56,11,Posicional,39.44,72.24,Defensivo,68.94,48.16,59.48,68.94,55.56,61.60,48.87,55.80,61.60,11,10,17,14,10
sabino-s-o-paulo-97,Sabino,São Paulo,75.49,60.56,62.68,39.62,46.90,57.05,0.67,1452,0.77,55.43,12,Híbrido,51.15,60.98,Híbrido,56.56,51.82,59.03,56.56,55.43,55.06,51.40,56.96,55.06,12,30,9,12,30
robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,62.68,40.85,85.21,38.73,49.72,55.44,0.98,2128,0.99,55.37,13,Construtor,61.97,51.08,Construtor,60.34,50.43,56.65,60.34,55.37,60.20,50.42,56.57,60.20,13,16,12,13,16
l-o-pereira-flamengo-48,Léo Pereira,Flamengo,32.61,31.81,92.96,94.37,29.44,56.24,0.79,1722,0.86,55.37,14,Construtor,93.66,31.29,Construtor,87.28,46.81,64.18,87.28,55.37,81.98,47.26,62.17,81.98,13,1,23,5,1
z-ivaldo-remo-296,Zé Ivaldo,Remo,73.47,48.58,48.78,43.64,78.17,58.53,0.33,706,0.48,54.11,15,Posicional,46.21,66.74,Defensivo,64.27,54.06,55.59,64.27,54.11,56.94,51.98,52.72,56.94,15,24,8,30,24
ign-cio-fluminense-238,Ignácio,Fluminense,81.96,60.56,32.04,41.05,68.87,56.90,0.42,920,0.57,53.95,16,Posicional,36.55,70.46,Defensivo,67.44,48.70,57.87,67.44,53.95,59.92,49.26,54.48,59.92,16,17,14,17,17
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,59.86,65.49,59.15,59.15,30.28,54.79,0.67,1445,0.77,53.68,17,Construtor,59.15,51.88,Construtor,58.06,46.25,59.94,58.06,53.68,56.21,47.11,57.66,56.21,17,28,25,10,28
f-balbuena-gr-mio-306,F. Balbuena,Grêmio,52.88,42.37,72.78,58.20,60.70,57.39,0.31,676,0.47,53.46,18,Construtor,65.49,51.98,Construtor,63.46,52.88,60.57,63.98,53.46,56.29,51.35,54.94,56.53,18,27,10,16,26
n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,33.10,50.00,67.60,58.21,64.08,54.60,0.64,1380,0.75,53.43,19,Híbrido,62.91,49.06,Híbrido,56.67,47.67,52.14,56.67,53.43,54.99,48.26,51.60,54.99,19,31,20,35,31
gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,28.69,81.69,78.06,66.10,17.89,54.49,0.60,1311,0.72,53.24,20,Híbrido,72.08,42.76,Híbrido,58.88,39.23,64.41,58.88,53.24,56.37,42.27,60.34,56.37,20,26,46,8,27
