player_id,Jogador,Equipe,proposta,perfil_m,nota_atual,rank_atual,nota_composite,rank_composite,nota_m8,rank_m8,delta_rank_composite,delta_rank_m8
l-o-pereira-flamengo-48,Léo Pereira,Flamengo,Construtor,Construtor,8.07,1,6.65,31,8.03,1,-30,0
l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,Construtor,Construtor,7.86,2,7.31,8,7.81,2,-6,0
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,7.69,3,8.01,1,7.79,3,2,0
fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.65,4,7.55,5,7.63,4,-1,0
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,Construtor,Construtor,7.59,5,6.13,50,7.54,5,-45,0
eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,7.40,6,7.30,9,7.37,6,-3,0
bruno-gomes-internacional-16,Bruno Gomes,Internacional,Combativo,Construtor,7.38,7,6.37,42,7.34,8,-35,-1
willian-machado-mirassol-73,Willian Machado,Mirassol,Defensor de Área,Híbrido,7.23,8,7.77,2,7.36,7,6,1
david-duarte-bahia-87,David Duarte,Bahia,Defensor de Área,Defensivo,7.20,9,7.58,3,7.18,9,6,0
j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,Combativo,Defensivo,7.12,10,7.27,11,7.07,11,-1,-1
a-fr-as-santos-253,A. Frías,Santos,Combativo,Defensivo,7.11,11,6.96,16,7.07,11,-5,0
l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,Construtor,Construtor,7.08,12,5.96,54,7.04,13,-42,-1
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,7.07,13,7.29,10,7.03,15,3,-2
f-torres-internacional-123,F. Torres,Internacional,Combativo,Defensivo,7.06,14,7.45,6,7.04,13,8,1
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,Construtor,Construtor,7.05,15,5.55,66,7.03,15,-51,0
robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,Construtor,Construtor,7.01,16,7.09,14,6.99,17,2,-1
ign-cio-fluminense-238,Ignácio,Fluminense,Defensor de Área,Defensivo,6.99,17,7.10,13,6.95,18,4,-1
jacy-coritiba-70,Jacy,Coritiba,Defensor de Área,Defensivo,6.97,18,6.70,28,6.94,19,-10,-1
jo-o-victor-mirassol-2,João Victor,Mirassol,Defensor de Área,Defensivo,6.94,19,7.56,4,7.13,10,15,9
gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,Defensivo,6.94,19,7.34,7,6.93,20,12,-1
luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,Defensor de Área,Defensivo,6.83,21,6.87,20,6.80,22,1,-1
gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,Combativo,Construtor,6.81,22,6.71,26,6.80,22,-4,0
j-freytes-fluminense-39,J. Freytes,Fluminense,Construtor,Construtor,6.81,22,6.52,38,6.81,21,-16,1
z-ivaldo-remo-296,Zé Ivaldo,Remo,Combativo,Defensivo,6.75,24,7.05,15,6.73,25,9,-1
r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,Defensor de Área,Defensivo,6.74,25,6.84,22,6.72,26,3,-1
f-balbuena-gr-mio-306,F. Balbuena,Grêmio,Combativo,Construtor,6.72,26,6.88,19,6.72,26,7,0
gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,Defensor de Área,Híbrido,6.71,27,6.68,30,6.79,24,-3,3
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,Combativo,Construtor,6.69,28,6.87,20,6.70,28,8,0
g-g-mez-palmeiras-27,G. Gómez,Palmeiras,Defensor de Área,Defensivo,6.64,29,6.94,17,6.66,30,12,-1
sabino-s-o-paulo-97,Sabino,São Paulo,Defensor de Área,Híbrido,6.60,30,7.19,12,6.67,29,18,1
n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,Defensor de Área,Híbrido,6.59,31,6.80,24,6.66,30,7,1
luan-peres-santos-118,Luan Peres,Santos,Defensor de Área,Defensivo,6.53,32,6.60,34,6.55,32,-2,0
j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,Defensor de Área,Defensivo,6.50,33,6.58,35,6.53,33,-2,0
rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,Defensor de Área,Construtor,6.47,34,6.70,28,6.48,35,6,-1
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,Combativo,Defensivo,6.47,34,6.65,31,6.47,36,3,-2
kayky-almeida-remo-341,Kayky Almeida,Remo,Combativo,Híbrido,6.44,36,6.93,18,6.49,34,18,2
jemmes-fluminense-103,Jemmes,Fluminense,Combativo,Defensivo,6.42,37,5.90,57,6.45,37,-20,0
camutanga-vit-ria-301,Camutanga,Vitória,Defensor de Área,Defensivo,6.42,37,6.38,41,6.43,38,-4,-1
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,Defensor de Área,Defensivo,6.39,39,6.28,45,6.41,39,-6,0
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,Construtor,Construtor,6.38,40,6.41,40,6.40,40,0,0
jonathan-cruzeiro-145,Jonathan,Cruzeiro,Combativo,Defensivo,6.38,40,6.61,33,6.40,40,7,0
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,Defensor de Área,Construtor,6.37,42,6.04,51,6.39,44,-9,-2
andr-ramalho-corinthians-318,André Ramalho,Corinthians,Construtor,Construtor,6.37,42,6.73,25,6.40,40,17,2
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,Combativo,Híbrido,6.36,44,6.37,42,6.40,40,2,4
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,Combativo,Híbrido,6.32,45,6.71,26,6.36,45,19,0
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,Construtor,Construtor,6.28,46,5.86,58,6.29,46,-12,0
murilo-palmeiras-24,Murilo,Palmeiras,Construtor,Híbrido,6.27,47,5.95,55,6.29,46,-8,1
d-tchamba-remo-109,D. Tchamba,Remo,Defensor de Área,Defensivo,6.27,47,6.48,39,6.27,48,8,-1
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,Combativo,Defensivo,6.18,49,6.24,47,6.18,50,2,-1
jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,Construtor,Defensivo,6.10,50,6.54,36,6.21,49,14,1
marllon-remo-5,Marllon,Remo,Defensor de Área,Defensivo,6.07,51,5.85,59,6.04,51,-8,0
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,Defensor de Área,Defensivo,6.05,52,6.16,49,6.00,55,3,-3
victor-gabriel-internacional-124,Victor Gabriel,Internacional,Construtor,Híbrido,6.05,52,6.53,37,6.04,51,15,1
maicon-coritiba-181,Maicon,Coritiba,Defensor de Área,Defensivo,5.99,54,6.26,46,6.02,54,8,0
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,Defensor de Área,Híbrido,5.97,55,6.03,52,5.95,56,3,-1
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,Defensor de Área,Defensivo,5.96,56,6.29,44,6.03,53,12,3
gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,Defensor de Área,Defensivo,5.93,57,5.98,53,5.85,60,4,-3
l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,Combativo,Híbrido,5.91,58,5.84,60,5.88,59,-2,-1
newton-s-o-paulo-370,Newton,São Paulo,Combativo,Defensivo,5.81,59,5.81,61,5.77,61,-2,-2
bastos-botafogo-337,Bastos,Botafogo,Combativo,Defensivo,5.81,59,6.20,48,5.94,57,11,2
