modelo,rank,Jogador,Equipe,proposta,perfil_m,nota,con,def
atual,1,Léo Pereira,Flamengo,Construtor,Construtor,8.07,93.66,31.29
atual,2,Léo Ortiz,Flamengo,Construtor,Construtor,7.86,85.21,46.44
atual,3,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,7.69,82.70,74.20
atual,4,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.65,73.94,54.30
atual,5,Arthur Dias,Athletico Paranaense,Construtor,Construtor,7.59,73.59,33.72
atual,6,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,7.40,70.07,52.40
atual,7,Bruno Gomes,Internacional,Combativo,Construtor,7.38,69.02,39.29
atual,8,Willian Machado,Mirassol,Defensor de Área,Híbrido,7.23,65.53,66.40
atual,9,David Duarte,Bahia,Defensor de Área,Defensivo,7.20,52.79,68.16
atual,10,Júnior Alonso,Atlanta United,Combativo,Defensivo,7.12,39.44,72.24
atual,11,A. Frías,Santos,Combativo,Defensivo,7.11,22.08,74.46
atual,12,L. Villalba,Cruzeiro,Construtor,Construtor,7.08,73.42,26.40
atual,13,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,7.07,45.05,64.55
atual,14,F. Torres,Internacional,Combativo,Defensivo,7.06,52.01,66.95
atual,15,S. Ramos Mingo,Bahia,Construtor,Construtor,7.05,63.03,30.07
atual,16,Robert Renan,Vasco da Gama,Construtor,Construtor,7.01,61.97,51.08
atual,17,Ignácio,Fluminense,Defensor de Área,Defensivo,6.99,36.55,70.46
atual,18,Jacy,Coritiba,Defensor de Área,Defensivo,6.97,28.32,63.75
atual,19,João Victor,Mirassol,Defensor de Área,Defensivo,6.94,64.47,58.37
atual,19,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,Defensivo,6.94,54.85,77.54
composite_32_5_67_5,1,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,8.01,82.70,74.20
composite_32_5_67_5,2,Willian Machado,Mirassol,Defensor de Área,Híbrido,7.77,65.53,66.40
composite_32_5_67_5,3,David Duarte,Bahia,Defensor de Área,Defensivo,7.58,52.79,68.16
composite_32_5_67_5,4,João Victor,Mirassol,Defensor de Área,Defensivo,7.56,64.47,58.37
composite_32_5_67_5,5,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.55,73.94,54.30
composite_32_5_67_5,6,F. Torres,Internacional,Combativo,Defensivo,7.45,52.01,66.95
composite_32_5_67_5,7,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,Defensivo,7.34,54.85,77.54
composite_32_5_67_5,8,Léo Ortiz,Flamengo,Construtor,Construtor,7.31,85.21,46.44
composite_32_5_67_5,9,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,7.30,70.07,52.40
composite_32_5_67_5,10,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,7.29,45.05,64.55
composite_32_5_67_5,11,Júnior Alonso,Atlanta United,Combativo,Defensivo,7.27,39.44,72.24
composite_32_5_67_5,12,Sabino,São Paulo,Defensor de Área,Híbrido,7.19,51.15,60.98
composite_32_5_67_5,13,Ignácio,Fluminense,Defensor de Área,Defensivo,7.10,36.55,70.46
composite_32_5_67_5,14,Robert Renan,Vasco da Gama,Construtor,Construtor,7.09,61.97,51.08
composite_32_5_67_5,15,Zé Ivaldo,Remo,Combativo,Defensivo,7.05,46.21,66.74
composite_32_5_67_5,16,A. Frías,Santos,Combativo,Defensivo,6.96,22.08,74.46
composite_32_5_67_5,17,G. Gómez,Palmeiras,Defensor de Área,Defensivo,6.94,44.20,57.60
composite_32_5_67_5,18,Kayky Almeida,Remo,Combativo,Híbrido,6.93,52.70,59.67
composite_32_5_67_5,19,F. Balbuena,Grêmio,Combativo,Construtor,6.88,65.49,51.98
composite_32_5_67_5,20,Alexander Barboza,Palmeiras,Combativo,Construtor,6.87,59.15,51.88
m8_70_30_gap6,1,Léo Pereira,Flamengo,Construtor,Construtor,8.03,93.66,31.29
m8_70_30_gap6,2,Léo Ortiz,Flamengo,Construtor,Construtor,7.81,85.21,46.44
m8_70_30_gap6,3,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,7.79,82.70,74.20
m8_70_30_gap6,4,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.63,73.94,54.30
m8_70_30_gap6,5,Arthur Dias,Athletico Paranaense,Construtor,Construtor,7.54,73.59,33.72
m8_70_30_gap6,6,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,7.37,70.07,52.40
m8_70_30_gap6,7,Willian Machado,Mirassol,Defensor de Área,Híbrido,7.36,65.53,66.40
m8_70_30_gap6,8,Bruno Gomes,Internacional,Combativo,Construtor,7.34,69.02,39.29
m8_70_30_gap6,9,David Duarte,Bahia,Defensor de Área,Defensivo,7.18,52.79,68.16
m8_70_30_gap6,10,João Victor,Mirassol,Defensor de Área,Defensivo,7.13,64.47,58.37
m8_70_30_gap6,11,Júnior Alonso,Atlanta United,Combativo,Defensivo,7.07,39.44,72.24
m8_70_30_gap6,11,A. Frías,Santos,Combativo,Defensivo,7.07,22.08,74.46
m8_70_30_gap6,13,F. Torres,Internacional,Combativo,Defensivo,7.04,52.01,66.95
m8_70_30_gap6,13,L. Villalba,Cruzeiro,Construtor,Construtor,7.04,73.42,26.40
m8_70_30_gap6,15,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,7.03,45.05,64.55
m8_70_30_gap6,15,S. Ramos Mingo,Bahia,Construtor,Construtor,7.03,63.03,30.07
m8_70_30_gap6,17,Robert Renan,Vasco da Gama,Construtor,Construtor,6.99,61.97,51.08
m8_70_30_gap6,18,Ignácio,Fluminense,Defensor de Área,Defensivo,6.95,36.55,70.46
m8_70_30_gap6,19,Jacy,Coritiba,Defensor de Área,Defensivo,6.94,28.32,63.75
m8_70_30_gap6,20,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,Defensivo,6.93,54.85,77.54
