player_id,Jogador,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,score_mean
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,76.33,49.44,80.26,73.51,80.00,71.91
l-o-ortiz-flamengo-67,Léo Ortiz,50.33,66.41,65.49,90.07,65.85,67.63
jo-o-victor-mirassol-2,João Victor,34.88,79.08,73.03,71.56,78.94,67.50
willian-machado-mirassol-73,Willian Machado,48.25,77.39,63.10,75.92,67.46,66.43
fabricio-bruno-cruzeiro-15,Fabricio Bruno,47.25,76.97,63.52,83.31,60.77,66.37
gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,58.79,71.80,43.40,61.93,80.26,63.24
david-duarte-bahia-87,David Duarte,55.97,82.04,74.58,31.53,71.34,63.09
eduardo-doma-chapecoense-31,Eduardo Doma,62.45,26.62,44.65,89.23,82.32,61.05
f-torres-internacional-123,F. Torres,82.50,25.49,54.48,54.56,80.63,59.53
luan-c-ndido-vit-ria-164,Luan Cândido,49.07,74.08,41.55,46.60,80.00,58.26
andr-ramalho-corinthians-318,André Ramalho,42.40,75.75,78.79,33.24,59.98,58.03
z-ivaldo-remo-296,Zé Ivaldo,68.78,53.03,51.92,42.11,66.06,56.38
l-o-pereira-flamengo-48,Léo Pereira,25.54,38.95,89.08,87.96,39.15,56.14
f-balbuena-gr-mio-306,F. Balbuena,56.62,46.12,64.59,53.95,59.11,56.08
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,77.75,25.77,57.42,43.13,72.68,55.35
j-nior-alonso-atlanta-united-214,Júnior Alonso,83.79,42.26,56.46,30.66,62.25,55.08
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,50.25,61.04,55.01,36.36,70.72,54.68
maicon-coritiba-181,Maicon,34.74,52.23,33.75,69.91,81.90,54.51
gustavo-martins-gr-mio-146,Gustavo Martins,29.34,79.51,73.96,68.90,19.72,54.29
robert-renan-vasco-da-gama-8,Robert Renan,59.30,57.96,77.18,31.20,43.52,53.83
gustavo-henrique-corinthians-29,Gustavo Henrique,66.66,71.48,40.60,59.08,29.15,53.39
ign-cio-fluminense-238,Ignácio,77.20,53.10,30.86,47.37,56.90,53.09
jonathan-cruzeiro-145,Jonathan,59.73,38.86,48.25,55.37,62.54,52.95
a-fr-as-santos-253,A. Frías,78.40,58.36,28.38,30.24,68.80,52.84
gabriel-mercado-internacional-159,Gabriel Mercado,84.67,15.06,67.99,61.53,34.08,52.67
r-arboleda-s-o-paulo-304,R. Arboleda,54.21,74.07,33.19,42.43,58.87,52.56
bruno-leonardo-chapecoense-93,Bruno Leonardo,24.69,68.94,44.17,65.92,56.34,52.01
j-aguirre-athletico-paranaense-71,J. Aguirre,34.01,74.01,54.94,49.12,47.61,51.94
sabino-s-o-paulo-97,Sabino,73.86,49.72,60.70,33.10,40.85,51.64
jo-o-paulo-chapecoense-338,João Paulo,33.12,72.43,46.44,66.76,38.37,51.42
arthur-dias-athletico-paranaense-20,Arthur Dias,47.21,15.30,50.99,88.38,55.07,51.39
n-ferraresi-botafogo-117,N. Ferraresi,32.75,47.18,68.92,53.33,51.97,50.83
rafael-tol-i-s-o-paulo-348,Rafael Tolói,54.83,63.16,47.97,61.91,26.12,50.80
kayky-almeida-remo-341,Kayky Almeida,51.80,58.90,39.95,56.61,44.74,50.40
marllon-remo-5,Marllon,70.85,32.25,61.91,21.73,65.00,50.35
gabriel-paulista-corinthians-43,Gabriel Paulista,45.80,69.79,55.29,27.73,52.82,50.28
camutanga-vit-ria-301,Camutanga,55.16,58.20,29.85,35.56,70.52,49.86
s-ramos-mingo-bahia-14,S. Ramos Mingo,19.53,36.76,84.44,49.24,59.01,49.80
g-g-mez-palmeiras-27,G. Gómez,62.82,49.15,28.39,61.87,46.48,49.74
