rank,player_id,Jogador,Equipe,minutes,vol,eff,impact,n_attempts,eff_expected,resid_eff_raw,resid_eff,conf,score_A,score_B,score_final
1,david-duarte-bahia-87,David Duarte,Bahia,1534,5.050,80.230,4.052,86.074,61.853,18.377,5.000,1.000,74.648,99.296,82.042
2,gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,1311,4.320,69.840,3.017,62.928,60.526,9.314,5.000,1.000,74.648,90.845,79.507
3,jo-o-victor-mirassol-2,João Victor,Mirassol,2167,4.190,70.300,2.946,100.886,60.224,10.076,5.000,1.000,74.648,89.437,79.085
4,willian-machado-mirassol-73,Willian Machado,Mirassol,1600,3.880,71.010,2.755,68.978,59.424,11.586,5.000,1.000,74.648,83.803,77.394
5,fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,2013,3.580,76.250,2.730,80.073,58.543,17.707,5.000,1.000,74.648,82.394,76.972
6,andr-ramalho-corinthians-318,André Ramalho,Corinthians,647,4.590,75.760,3.477,32.997,61.089,14.671,5.000,0.660,66.266,97.887,75.752
7,a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,1078,3.920,68.090,2.669,46.953,59.534,8.556,5.000,0.939,73.146,78.169,74.653
8,luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,1224,3.600,73.470,2.645,48.960,58.605,14.865,5.000,0.979,74.135,73.944,74.078
9,r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,685,4.340,69.700,3.025,33.032,60.571,9.129,5.000,0.661,66.283,92.254,74.074
10,j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,1611,3.910,65.710,2.569,69.989,59.507,6.203,5.000,1.000,74.648,72.535,74.014
11,jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,589,4.130,77.780,3.212,27.029,60.078,17.702,5.000,0.541,63.324,93.662,72.425
12,gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,500,4.320,75.000,3.240,24.000,60.526,14.474,5.000,0.480,61.831,95.070,71.803
13,gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,1863,3.530,67.120,2.369,73.071,58.386,8.734,5.000,1.000,74.648,64.085,71.479
14,gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,1754,3.030,72.880,2.208,59.051,56.654,16.226,5.000,1.000,74.648,58.451,69.789
15,bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,1478,3.350,63.640,2.132,55.014,57.796,5.844,5.000,1.000,74.648,55.634,68.944
16,alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,1620,3.280,64.410,2.113,59.040,57.557,6.853,5.000,1.000,74.648,52.817,68.099
17,l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,1618,3.000,68.520,2.056,53.933,56.541,11.979,5.000,1.000,74.648,47.183,66.408
18,tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,1451,3.100,62.000,1.922,49.979,56.914,5.086,5.000,1.000,74.637,38.732,63.866
19,rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,537,3.520,71.430,2.514,21.003,58.354,13.076,5.000,0.420,60.353,69.718,63.163
20,luan-peres-santos-118,Luan Peres,Santos,1377,2.810,72.090,2.026,42.993,55.799,16.291,5.000,0.860,71.194,44.366,63.145
21,i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,489,3.680,65.000,2.392,19.995,58.849,6.151,5.000,0.400,59.857,65.493,61.547
