rank,player_id,Jogador,Equipe,minutes,vol,eff,impact,n_attempts,eff_expected,resid_eff_raw,resid_eff,conf,score_A,score_B,score_final
1,viery-fiorentina-138,Viery,Fiorentina,1323,6.730,69.700,4.691,98.931,66.697,3.003,3.003,1.000,82.394,99.296,87.465
2,gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,1263,4.490,71.430,3.207,63.010,66.208,5.222,5.000,0.788,83.834,86.620,84.670
3,j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,1013,4.890,72.730,3.556,55.040,66.384,6.346,5.000,0.688,79.555,93.662,83.787
4,jemmes-fluminense-103,Jemmes,Fluminense,1436,4.260,72.060,3.070,67.971,66.090,5.970,5.000,0.850,86.498,75.352,83.154
5,f-torres-internacional-123,F. Torres,Internacional,1371,4.200,75.000,3.150,63.980,66.057,8.943,5.000,0.800,84.355,78.169,82.500
6,a-fr-as-santos-253,A. Frías,Santos,863,4.480,76.740,3.438,42.958,66.203,10.537,5.000,0.537,73.067,90.845,78.401
7,ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,1778,4.610,68.130,3.141,91.073,66.265,1.865,1.865,1.000,78.169,76.761,77.746
8,ign-cio-fluminense-238,Ignácio,Fluminense,920,4.110,78.570,3.229,42.013,66.005,12.565,5.000,0.525,72.560,88.028,77.200
9,pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,1135,4.040,72.550,2.931,50.949,65.964,6.586,5.000,0.637,77.358,73.944,76.334
10,sabino-s-o-paulo-97,Sabino,São Paulo,1452,4.710,67.110,3.161,75.988,66.310,0.800,0.800,0.950,71.405,79.577,73.857
11,marllon-remo-5,Marllon,Remo,2138,4.040,67.710,2.735,95.972,65.964,1.746,1.746,1.000,76.761,57.042,70.845
12,z-ivaldo-remo-296,Zé Ivaldo,Remo,706,4.720,67.570,3.189,37.026,66.314,1.256,1.256,0.463,61.734,85.211,68.777
13,gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,774,3.840,72.730,2.793,33.024,65.840,6.890,5.000,0.413,67.733,65.493,67.061
14,gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,1863,3.570,67.570,2.412,73.899,65.658,1.912,1.912,0.924,78.623,38.732,66.656
15,j-freytes-fluminense-39,J. Freytes,Fluminense,1776,4.160,65.850,2.739,82.091,66.034,-0.184,-0.184,1.000,66.901,58.451,64.366
16,g-g-mez-palmeiras-27,G. Gómez,Palmeiras,1875,4.420,65.220,2.883,92.083,66.173,-0.953,-0.953,1.000,59.859,69.718,62.817
17,eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,1832,3.050,69.350,2.115,62.084,65.256,4.094,4.094,0.776,76.233,30.282,62.448
18,victor-gabriel-internacional-124,Victor Gabriel,Internacional,1364,4.950,64.000,3.168,75.020,66.407,-2.407,-2.407,0.938,52.642,80.986,61.145
19,jonathan-cruzeiro-145,Jonathan,Cruzeiro,1312,4.320,65.080,2.811,62.976,66.122,-1.042,-1.042,0.787,56.652,66.901,59.727
20,robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,2128,4.530,64.490,2.921,107.109,66.228,-1.738,-1.738,1.000,54.225,71.127,59.296
21,gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,500,3.600,75.000,2.700,20.000,65.679,9.321,5.000,0.250,60.739,54.225,58.785
22,f-balbuena-gr-mio-306,F. Balbuena,Grêmio,676,3.590,70.370,2.526,26.965,65.672,4.698,4.698,0.337,61.868,44.366,56.618
23,bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,598,4.060,66.670,2.707,26.976,65.976,0.694,0.694,0.337,56.649,55.634,56.345
24,david-duarte-bahia-87,David Duarte,Bahia,1534,3.580,65.570,2.347,61.019,65.665,-0.095,-0.095,0.763,63.966,37.324,55.973
25,camutanga-vit-ria-301,Camutanga,Vitória,696,3.230,72.000,2.326,24.979,65.403,6.597,5.000,0.312,63.413,35.915,55.164
26,rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,537,4.530,62.960,2.852,27.029,66.228,-3.268,-3.268,0.338,49.048,68.310,54.827
27,newton-s-o-paulo-370,Newton,São Paulo,472,4.000,66.670,2.667,20.978,65.940,0.730,0.730,0.262,55.540,52.817,54.723
28,r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,685,4.340,63.640,2.762,33.032,66.132,-2.492,-2.492,0.413,50.582,62.676,54.210
29,c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,1125,3.920,65.310,2.560,49.000,65.891,-0.581,-0.581,0.613,57.764,45.775,54.167
30,bastos-botafogo-337,Bastos,Botafogo,592,5.470,61.110,3.343,35.980,66.570,-5.460,-5.000,0.450,37.014,89.437,52.741
31,kayky-almeida-remo-341,Kayky Almeida,Remo,565,5.260,60.610,3.188,33.021,66.512,-5.902,-5.000,0.413,38.082,83.803,51.798
32,i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,489,9.200,50.000,4.600,49.987,65.834,-15.834,-5.000,0.625,31.959,97.887,51.738
33,l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,1618,2.780,66.000,1.835,49.978,65.022,0.978,0.978,0.625,64.958,16.197,50.330
34,vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,621,3.770,65.380,2.465,26.013,65.795,-0.415,-0.415,0.325,54.580,40.141,50.248
35,luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,1224,3.160,65.120,2.058,42.976,65.347,-0.227,-0.227,0.537,58.323,27.465,49.065
36,willian-machado-mirassol-73,Willian Machado,Mirassol,1600,4.110,63.010,2.590,73.067,66.005,-2.995,-2.995,0.913,48.714,47.183,48.254
37,luan-peres-santos-118,Luan Peres,Santos,1377,3.920,63.330,2.483,59.976,65.891,-2.561,-2.561,0.750,50.000,41.549,47.465
38,fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,2013,3.220,63.890,2.057,72.021,65.395,-1.505,-1.505,0.900,56.340,26.056,47.255
39,arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,1961,3.300,63.890,2.108,71.903,65.457,-1.567,-1.567,0.899,55.064,28.873,47.207
40,gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,1754,2.870,64.290,1.845,55.933,65.102,-0.812,-0.812,0.699,57.878,17.606,45.796
41,l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,1456,6.680,57.410,3.835,108.068,66.699,-9.289,-5.000,1.000,21.127,96.479,43.732
