rank,player_id,Jogador,Equipe,minutes,vol,eff,impact,n_attempts,eff_expected,resid_eff_raw,resid_eff,conf,score_A,score_B,score_final
1,d-tchamba-remo-109,D. Tchamba,Remo,1416,8.520,-0.164,6.610,134.041,-0.228,0.064,0.050,1.000,85.915,96.479,89.085
2,gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,1700,7.101,-0.184,5.300,134.138,-0.244,0.059,0.050,1.000,85.915,76.761,83.169
3,eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,1832,7.325,-0.164,5.210,149.108,-0.241,0.077,0.050,1.000,85.915,73.944,82.324
4,maicon-coritiba-181,Maicon,Coritiba,1146,6.840,-0.161,5.190,87.096,-0.248,0.087,0.050,1.000,85.915,72.535,81.901
5,f-torres-internacional-123,F. Torres,Internacional,1371,8.200,-0.174,5.050,124.913,-0.231,0.057,0.050,1.000,85.915,68.310,80.634
6,gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,500,8.280,-0.109,5.580,46.000,-0.230,0.122,0.050,0.767,77.535,86.620,80.261
7,luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,1224,7.058,-0.179,5.000,95.986,-0.245,0.065,0.050,1.000,85.915,66.197,80.000
8,pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,1135,7.931,-0.156,5.000,100.019,-0.234,0.078,0.050,1.000,85.915,66.197,80.000
9,jo-o-victor-mirassol-2,João Victor,Mirassol,2167,6.561,-0.173,4.900,157.967,-0.252,0.079,0.050,1.000,85.915,62.676,78.944
10,cac-vit-ria-84,Cacá,Vitória,1548,6.629,-0.194,4.650,114.021,-0.251,0.057,0.050,1.000,85.915,52.817,75.986
11,gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,774,7.323,-0.143,4.530,62.976,-0.241,0.098,0.050,1.000,85.915,45.775,73.873
12,ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,1778,8.751,-0.185,5.610,172.877,-0.226,0.041,0.041,1.000,65.493,89.437,72.676
13,david-duarte-bahia-87,David Duarte,Bahia,1534,6.807,-0.195,4.460,116.028,-0.248,0.053,0.050,1.000,85.915,37.324,71.338
14,vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,621,7.095,-0.184,4.630,48.954,-0.244,0.060,0.050,0.816,79.304,50.704,70.724
15,camutanga-vit-ria-301,Camutanga,Vitória,696,6.856,-0.132,4.530,53.017,-0.247,0.116,0.050,0.884,81.735,44.366,70.525
16,a-fr-as-santos-253,A. Frías,Santos,863,7.718,-0.169,4.280,74.007,-0.236,0.067,0.050,1.000,85.915,28.873,68.803
17,willian-machado-mirassol-73,Willian Machado,Mirassol,1600,7.820,-0.194,5.230,139.017,-0.235,0.041,0.041,1.000,64.085,75.352,67.465
18,z-ivaldo-remo-296,Zé Ivaldo,Remo,706,8.159,-0.188,4.970,64.005,-0.231,0.044,0.044,1.000,66.901,64.085,66.056
19,l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,1618,5.895,-0.202,4.060,105.975,-0.263,0.061,0.050,1.000,85.915,19.014,65.845
20,jacy-coritiba-70,Jacy,Coritiba,1613,10.261,-0.196,7.080,183.899,-0.218,0.023,0.023,1.000,51.408,97.887,65.352
21,marllon-remo-5,Marllon,Remo,2138,6.775,-0.193,4.040,160.955,-0.249,0.056,0.050,1.000,85.915,16.197,65.000
22,jonathan-cruzeiro-145,Jonathan,Cruzeiro,1312,8.371,-0.205,5.560,122.037,-0.229,0.024,0.024,1.000,52.817,85.211,62.535
23,j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,1013,8.356,-0.194,4.800,94.057,-0.230,0.035,0.035,1.000,62.676,61.268,62.254
24,fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,2013,5.357,-0.217,3.300,119.824,-0.273,0.056,0.050,1.000,85.915,2.113,60.775
25,andr-ramalho-corinthians-318,André Ramalho,Corinthians,647,5.837,-0.198,4.170,41.960,-0.264,0.066,0.050,0.699,75.117,24.648,59.976
26,luan-peres-santos-118,Luan Peres,Santos,1377,7.913,-0.216,5.430,121.062,-0.234,0.018,0.018,1.000,50.000,82.394,59.718
27,f-balbuena-gr-mio-306,F. Balbuena,Grêmio,676,6.386,-0.167,3.860,47.968,-0.255,0.088,0.050,0.799,78.713,13.380,59.113
28,s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,2019,6.337,-0.226,4.730,142.149,-0.255,0.030,0.030,1.000,59.859,57.042,59.014
29,r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,685,7.892,-0.210,5.130,60.067,-0.234,0.024,0.024,1.000,54.225,69.718,58.873
30,lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,1325,8.223,-0.238,6.390,121.058,-0.231,-0.007,-0.007,1.000,41.549,95.070,57.606
