rank,player_id,Jogador,Equipe,minutes,vol,eff,impact,n_attempts,eff_expected,resid_eff_raw,resid_eff,conf,score_A,score_B,score_final
1,l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,1618,6.400,66.960,4.285,115.058,54.951,12.009,5.000,1.000,87.324,96.479,90.070
2,eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,1832,6.880,60.710,4.177,140.046,55.230,5.480,5.000,1.000,87.324,93.662,89.225
3,arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,1961,6.240,61.760,3.854,135.963,54.856,6.904,5.000,1.000,87.324,90.845,88.380
4,l-o-pereira-flamengo-48,Léo Pereira,Flamengo,1722,5.230,73.000,3.818,100.067,54.226,18.774,5.000,1.000,87.324,89.437,87.958
5,fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,2013,4.920,60.000,2.952,110.044,54.022,5.978,5.000,1.000,87.324,73.944,83.310
6,willian-machado-mirassol-73,Willian Machado,Mirassol,1600,4.670,60.240,2.813,83.022,53.855,6.385,5.000,0.830,80.987,64.085,75.916
7,l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,869,9.010,59.770,5.385,86.997,56.331,3.439,3.439,0.870,64.704,99.296,75.081
8,pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,1135,7.300,58.700,4.285,92.061,55.464,3.236,3.236,0.921,64.263,95.070,73.505
9,victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,719,5.510,61.360,3.381,44.019,54.405,6.955,5.000,0.440,66.430,86.620,72.487
10,jo-o-victor-mirassol-2,João Victor,Mirassol,2167,3.360,69.140,2.323,80.901,52.928,16.212,5.000,0.809,80.196,51.408,71.559
11,maicon-coritiba-181,Maicon,Coritiba,1146,4.080,71.150,2.903,51.952,53.448,17.702,5.000,0.520,69.391,71.127,69.911
12,gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,1311,4.190,62.300,2.610,61.034,53.525,8.775,5.000,0.610,72.780,59.859,68.904
13,jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,589,5.650,59.460,3.359,36.976,54.494,4.966,4.966,0.370,58.853,85.211,66.761
14,murilo-palmeiras-24,Murilo,Palmeiras,1900,3.650,58.440,2.133,77.056,53.140,5.300,5.000,0.771,78.760,38.732,66.752
15,bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,1478,3.710,60.660,2.250,60.926,53.184,7.476,5.000,0.609,72.740,50.000,65.918
16,bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,598,6.470,58.140,3.762,42.990,54.993,3.147,3.147,0.430,56.055,88.028,65.647
17,bastos-botafogo-337,Bastos,Botafogo,592,4.260,67.860,2.891,28.021,53.574,14.286,5.000,0.280,60.459,69.718,63.237
18,j-freytes-fluminense-39,J. Freytes,Fluminense,1776,7.400,54.110,4.004,146.027,55.519,-1.409,-1.409,1.000,50.000,92.254,62.676
19,gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,500,5.760,56.250,3.240,32.000,54.563,1.687,1.687,0.320,53.155,82.394,61.927
20,rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,537,6.030,55.560,3.350,35.979,54.729,0.831,0.831,0.360,52.534,83.803,61.914
21,g-g-mez-palmeiras-27,G. Gómez,Palmeiras,1875,4.130,56.980,2.353,86.042,53.483,3.497,3.497,0.860,65.754,52.817,61.873
22,gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,1263,5.560,55.130,3.065,78.025,54.437,0.693,0.693,0.780,54.396,78.169,61.528
23,gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,1863,2.850,59.320,1.691,58.995,52.545,6.775,5.000,0.590,72.019,28.873,59.075
24,bruno-gomes-internacional-16,Bruno Gomes,Internacional,1999,4.590,54.900,2.520,101.949,53.801,1.099,1.099,1.000,58.451,55.634,57.606
25,kayky-almeida-remo-341,Kayky Almeida,Remo,565,6.210,51.280,3.184,38.985,54.838,-3.558,-3.558,0.390,46.156,80.986,56.605
26,alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,1445,8.910,52.450,4.673,143.055,56.284,-3.834,-3.834,1.000,38.732,97.887,56.479
27,jonathan-cruzeiro-145,Jonathan,Cruzeiro,1312,2.740,70.000,1.918,39.943,52.460,17.540,5.000,0.399,64.908,33.099,55.365
28,f-torres-internacional-123,F. Torres,Internacional,1371,4.000,55.740,2.230,60.933,53.391,2.349,2.349,0.609,57.724,47.183,54.562
29,jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,488,3.690,60.000,2.214,20.008,53.169,6.831,5.000,0.200,57.468,45.775,53.960
30,f-balbuena-gr-mio-306,F. Balbuena,Grêmio,676,6.120,50.000,3.060,45.968,54.784,-4.784,-4.784,0.460,44.173,76.761,53.949
31,alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,1620,6.110,51.820,3.166,109.980,54.778,-2.958,-2.958,1.000,42.958,79.577,53.944
32,n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,1380,5.670,51.720,2.933,86.940,54.506,-2.786,-2.786,0.869,45.102,72.535,53.332
33,wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,785,4.700,53.660,2.522,40.994,53.875,-0.215,-0.215,0.410,51.732,57.042,53.325
34,lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,711,3.420,59.260,2.027,27.018,52.972,6.288,5.000,0.270,60.084,37.324,53.256
35,a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,1078,3.920,55.320,2.169,46.953,53.334,1.986,1.986,0.470,55.290,41.549,51.168
36,s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,2019,4.190,52.130,2.184,93.996,53.525,-1.395,-1.395,0.940,51.324,44.366,49.237
37,j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,1611,2.070,67.570,1.399,37.053,51.934,15.636,5.000,0.371,63.830,14.789,49.117
38,ign-cio-fluminense-238,Ignácio,Fluminense,920,2.930,56.670,1.660,29.951,52.606,4.064,4.064,0.300,55.906,27.465,47.374
39,luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,1224,2.720,56.760,1.544,36.992,52.445,4.315,4.315,0.370,57.815,20.423,46.597
40,ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,1778,3.800,50.670,1.925,75.071,53.248,-2.578,-2.578,0.751,46.828,34.507,43.132
41,c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,1048,2.400,57.140,1.371,27.947,52.196,4.944,4.944,0.279,56.298,11.972,43.000
42,r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,685,3.680,50.000,1.840,28.009,53.162,-3.162,-3.162,0.280,47.633,30.282,42.428
43,z-ivaldo-remo-296,Zé Ivaldo,Remo,706,5.990,42.550,2.549,46.988,54.705,-12.155,-5.000,0.470,35.109,58.451,42.112
44,cac-vit-ria-84,Cacá,Vitória,1548,2.910,52.000,1.513,50.052,52.590,-0.590,-0.590,0.501,51.410,19.014,41.691
45,i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,489,4.790,42.310,2.027,26.026,53.935,-11.625,-5.000,0.260,41.752,35.915,40.001
46,vit-o-flamengo-322,Vitão,Flamengo,641,2.810,50.000,1.405,20.013,52.514,-2.514,-2.514,0.200,49.436,16.197,39.465
