rank,player_id,Jogador,Equipe,minutes,vol,eff,impact,n_attempts,eff_expected,resid_eff_raw,resid_eff,conf,score_A,score_B,score_final
1,l-o-pereira-flamengo-48,Léo Pereira,Flamengo,1722,7.940,88.160,7.000,151.919,72.206,15.954,5.000,1.000,90.141,86.620,89.085
2,bruno-gomes-internacional-16,Bruno Gomes,Internacional,1999,7.880,77.710,6.124,175.024,72.087,5.623,5.000,1.000,90.141,78.169,86.549
3,s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,2019,7.580,77.650,5.886,170.045,71.469,6.181,5.000,1.000,90.141,71.127,84.437
4,pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,1135,7.530,81.050,6.103,94.962,71.363,9.687,5.000,0.791,81.765,76.761,80.264
5,andr-ramalho-corinthians-318,André Ramalho,Corinthians,647,9.320,82.090,7.651,67.000,74.625,7.465,5.000,0.558,72.412,93.662,78.787
6,robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,2128,9.090,78.600,7.145,214.928,74.267,4.333,4.333,1.000,72.535,88.028,77.183
7,david-duarte-bahia-87,David Duarte,Bahia,1534,6.160,78.100,4.811,104.994,68.127,9.973,5.000,0.875,85.121,50.000,74.585
8,gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,1311,8.170,75.630,6.179,119.010,72.655,2.975,2.975,0.992,70.952,80.986,73.962
9,jo-o-victor-mirassol-2,João Victor,Mirassol,2167,5.070,76.230,3.865,122.074,65.094,11.136,5.000,1.000,90.141,33.099,73.028
10,murilo-palmeiras-24,Murilo,Palmeiras,1900,8.290,74.290,6.159,175.011,72.881,1.409,1.409,1.000,69.718,79.577,72.676
11,c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,1048,7.730,76.670,5.927,90.012,71.781,4.889,4.889,0.750,71.129,73.944,71.974
12,n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,1380,7.040,75.000,5.280,107.947,70.279,4.721,4.721,0.900,72.806,59.859,68.922
13,gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,1263,5.990,75.000,4.492,84.060,67.680,7.320,5.000,0.700,78.119,44.366,67.993
14,l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,1618,10.350,75.810,7.846,186.070,76.006,-0.196,-0.196,1.000,52.817,95.070,65.493
15,f-balbuena-gr-mio-306,F. Balbuena,Grêmio,676,10.520,75.950,7.990,79.017,76.199,-0.249,-0.249,0.658,50.927,96.479,64.593
16,fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,2013,9.250,74.400,6.882,206.892,74.518,-0.118,-0.118,1.000,54.225,85.211,63.521
17,willian-machado-mirassol-73,Willian Machado,Mirassol,1600,7.140,71.650,5.116,126.933,70.507,1.143,1.143,1.000,66.901,54.225,63.099
18,jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,488,6.820,81.080,5.530,36.980,69.766,11.314,5.000,0.308,62.370,64.085,62.884
19,bastos-botafogo-337,Bastos,Botafogo,592,8.060,73.580,5.931,53.017,72.443,1.137,1.137,0.442,56.845,75.352,62.397
20,marllon-remo-5,Marllon,Remo,2138,4.040,67.710,2.735,95.972,61.856,5.854,5.000,0.800,82.103,14.789,61.909
21,sabino-s-o-paulo-97,Sabino,São Paulo,1452,8.120,72.520,5.889,131.003,72.559,-0.039,-0.039,1.000,55.634,72.535,60.704
22,alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,1620,7.500,71.850,5.389,135.000,71.299,0.551,0.551,1.000,58.451,62.676,59.718
23,ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,1778,5.720,68.140,3.898,113.002,66.951,1.189,1.189,0.942,67.242,34.507,57.422
24,wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,785,7.340,71.880,5.276,64.021,70.952,0.928,0.928,0.534,56.763,58.451,57.269
25,alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,1445,11.830,74.210,8.779,189.937,77.356,-3.146,-3.146,1.000,38.732,99.296,56.901
26,j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,1013,5.600,71.430,4.000,63.031,66.619,4.811,4.811,0.525,64.056,38.732,56.459
