player_id,Jogador,Equipe,proposta,con,def,z_con,z_def,z_meta,nota_atual,rank_atual,meta_raw,nota_sim,rank_sim,delta_rank
l-o-pereira-flamengo-48,Léo Pereira,Flamengo,Construtor,93.66,31.29,2.70,-1.38,0.66,8.07,1,59.85,7.36,8,-7
l-o-ortiz-flamengo-67,Léo Ortiz,Flamengo,Construtor,85.21,46.44,2.17,-0.24,0.97,7.86,2,64.51,7.64,4,-2
pedro-henrique-red-bull-bragantino-184,Pedro Henrique,Red Bull Bragantino,Construtor,82.70,74.20,2.02,1.86,1.94,7.69,3,79.08,8.01,1,2
fabricio-bruno-cruzeiro-15,Fabricio Bruno,Cruzeiro,Construtor,73.94,54.30,1.48,0.35,0.92,7.65,4,63.74,7.72,3,1
arthur-dias-athletico-paranaense-20,Arthur Dias,Athletico Paranaense,Construtor,73.59,33.72,1.46,-1.20,0.13,7.59,5,51.92,6.67,27,-22
eduardo-doma-chapecoense-31,Eduardo Doma,Chapecoense,Defensor de Área,70.07,52.40,1.24,0.21,0.72,7.40,6,60.87,7.47,6,0
bruno-gomes-internacional-16,Bruno Gomes,Internacional,Combativo,69.02,39.29,1.17,-0.78,0.20,7.38,7,52.95,6.78,23,-16
willian-machado-mirassol-73,Willian Machado,Mirassol,Defensor de Área,65.53,66.40,0.96,1.27,1.11,7.23,8,66.69,7.75,2,6
david-duarte-bahia-87,David Duarte,Bahia,Defensor de Área,52.79,68.16,0.17,1.40,0.78,7.20,9,61.77,7.44,7,2
j-nior-alonso-atlanta-united-214,Júnior Alonso,Atlanta United,Combativo,39.44,72.24,-0.66,1.71,0.53,7.12,10,57.89,7.00,14,-4
a-fr-as-santos-253,A. Frías,Santos,Combativo,22.08,74.46,-1.73,1.88,0.07,7.11,11,51.09,6.54,35,-24
l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,Construtor,73.42,26.40,1.44,-1.75,-0.15,7.08,12,47.69,6.33,43,-31
ruan-tressoldi-atl-tico-mineiro-38,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,45.05,64.55,-0.31,1.13,0.41,7.07,13,56.14,7.06,12,1
f-torres-internacional-123,F. Torres,Internacional,Combativo,52.01,66.95,0.12,1.31,0.71,7.06,14,60.72,7.31,9,5
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,Construtor,63.03,30.07,0.80,-1.48,-0.34,7.05,15,44.95,5.94,58,-43
robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,Construtor,61.97,51.08,0.74,0.11,0.42,7.01,16,56.36,7.15,11,5
ign-cio-fluminense-238,Ignácio,Fluminense,Defensor de Área,36.55,70.46,-0.84,1.58,0.37,6.99,17,55.54,6.82,21,-4
jacy-coritiba-70,Jacy,Coritiba,Defensor de Área,28.32,63.75,-1.35,1.07,-0.14,6.97,18,47.93,6.28,47,-29
jo-o-victor-mirassol-2,João Victor,Mirassol,Defensor de Área,64.47,58.37,0.89,0.66,0.78,6.94,19,61.64,7.62,5,14
gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,54.85,77.54,0.30,2.11,1.20,6.94,19,68.04,7.22,10,9
luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,Defensor de Área,36.87,63.48,-0.82,1.05,0.12,6.83,21,51.74,6.60,32,-11
gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,Combativo,62.65,47.91,0.78,-0.13,0.33,6.81,22,54.88,6.85,20,2
j-freytes-fluminense-39,J. Freytes,Fluminense,Construtor,60.21,45.45,0.63,-0.31,0.16,6.81,22,52.35,6.70,26,-4
z-ivaldo-remo-296,Zé Ivaldo,Remo,Combativo,46.21,66.74,-0.24,1.29,0.53,6.75,24,57.92,6.90,19,5
r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,Defensor de Área,35.17,66.55,-0.92,1.28,0.18,6.74,25,52.69,6.61,31,-6
f-balbuena-gr-mio-306,F. Balbuena,Grêmio,Combativo,65.49,51.98,0.95,0.18,0.57,6.72,26,58.50,6.91,18,8
gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,Defensor de Área,72.08,42.76,1.36,-0.52,0.42,6.71,27,56.34,6.97,15,12
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,Combativo,59.15,51.88,0.56,0.17,0.37,6.69,28,55.50,6.94,16,12
g-g-mez-palmeiras-27,G. Gómez,Palmeiras,Defensor de Área,44.20,57.60,-0.36,0.60,0.12,6.64,29,51.81,6.66,28,1
sabino-s-o-paulo-97,Sabino,São Paulo,Defensor de Área,51.15,60.98,0.07,0.86,0.46,6.60,30,56.95,7.06,12,18
n-ferraresi-botafogo-117,N. Ferraresi,Botafogo,Defensor de Área,62.91,49.06,0.79,-0.04,0.38,6.59,31,55.65,6.94,16,15
luan-peres-santos-118,Luan Peres,Santos,Defensor de Área,38.40,56.96,-0.72,0.56,-0.08,6.53,32,48.75,6.36,42,-10
j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,Defensor de Área,39.50,55.68,-0.65,0.46,-0.10,6.50,33,48.54,6.33,43,-10
rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,Defensor de Área,59.82,51.74,0.60,0.16,0.38,6.47,34,55.73,6.73,24,10
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,Combativo,39.70,59.35,-0.64,0.74,0.05,6.47,34,50.72,6.51,36,-2
kayky-almeida-remo-341,Kayky Almeida,Remo,Combativo,52.70,59.67,0.16,0.76,0.46,6.44,36,56.93,6.79,22,14
jemmes-fluminense-103,Jemmes,Fluminense,Combativo,18.21,55.35,-1.97,0.43,-0.77,6.42,37,38.48,5.57,65,-28
camutanga-vit-ria-301,Camutanga,Vitória,Defensor de Área,28.49,57.49,-1.33,0.60,-0.37,6.42,37,44.46,6.17,49,-12
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,Defensor de Área,26.12,56.38,-1.48,0.51,-0.48,6.39,39,42.73,6.05,53,-14
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,Construtor,56.94,44.34,0.43,-0.40,0.01,6.38,40,50.21,6.48,38,2
jonathan-cruzeiro-145,Jonathan,Cruzeiro,Combativo,44.19,54.90,-0.36,0.40,0.02,6.38,40,50.27,6.49,37,3
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,Defensor de Área,57.38,31.53,0.45,-1.36,-0.46,6.37,42,43.16,6.17,49,-7
andr-ramalho-corinthians-318,André Ramalho,Corinthians,Construtor,55.20,54.11,0.32,0.34,0.33,6.37,42,54.94,6.72,25,17
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,Combativo,60.21,43.33,0.63,-0.47,0.08,6.36,44,51.16,6.58,34,10
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,Combativo,50.28,54.07,0.01,0.34,0.18,6.32,45,52.63,6.66,28,17
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,Construtor,53.47,35.19,0.21,-1.09,-0.44,6.28,46,43.42,6.02,54,-8
murilo-palmeiras-24,Murilo,Palmeiras,Construtor,63.58,35.90,0.84,-1.03,-0.10,6.27,47,48.51,6.31,45,2
d-tchamba-remo-109,D. Tchamba,Remo,Defensor de Área,43.83,52.81,-0.39,0.24,-0.07,6.27,47,48.92,6.38,41,6
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,Combativo,30.26,51.39,-1.23,0.14,-0.55,6.18,49,41.82,6.12,51,-2
jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,Construtor,64.14,44.63,0.87,-0.38,0.25,6.10,50,53.71,6.65,30,20
marllon-remo-5,Marllon,Remo,Defensor de Área,32.26,50.09,-1.10,0.04,-0.53,6.07,51,42.01,5.64,64,-13
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,Defensor de Área,41.50,49.27,-0.53,-0.03,-0.28,6.05,52,45.83,6.07,52,0
victor-gabriel-internacional-124,Victor Gabriel,Internacional,Construtor,38.24,55.34,-0.73,0.43,-0.15,6.05,52,47.76,6.28,47,5
maicon-coritiba-181,Maicon,Coritiba,Defensor de Área,49.84,45.75,-0.01,-0.29,-0.15,5.99,54,47.71,6.30,46,8
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,Defensor de Área,48.33,36.28,-0.11,-1.01,-0.56,5.97,55,41.65,6.02,54,1
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,Defensor de Área,56.38,41.85,0.39,-0.59,-0.10,5.96,56,48.54,6.39,39,17
gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,Defensor de Área,40.33,47.44,-0.60,-0.16,-0.38,5.93,57,44.25,5.90,60,-3
l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,Combativo,50.44,38.79,0.02,-0.82,-0.40,5.91,58,44.05,5.96,57,1
newton-s-o-paulo-370,Newton,São Paulo,Combativo,24.35,38.53,-1.59,-0.84,-1.21,5.81,59,31.80,5.74,62,-3
bastos-botafogo-337,Bastos,Botafogo,Combativo,66.44,33.44,1.01,-1.22,-0.10,5.81,59,48.44,6.39,39,20
lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,Defensor de Área,25.21,44.33,-1.54,-0.40,-0.97,5.79,61,35.49,5.43,68,-7
lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,Defensor de Área,39.84,31.48,-0.63,-1.37,-1.00,5.78,62,34.99,5.81,61,1
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,Defensor de Área,47.55,41.92,-0.16,-0.58,-0.37,5.76,63,44.48,6.00,56,7
viery-fiorentina-138,Viery,Fiorentina,Combativo,38.73,61.52,-0.70,0.90,0.10,5.75,64,51.49,6.59,33,31
vit-o-flamengo-322,Vitão,Flamengo,Defensor de Área,40.21,28.08,-0.61,-1.63,-1.12,5.67,65,33.23,5.66,63,2
gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,Defensor de Área,41.34,38.25,-0.54,-0.86,-0.70,5.57,66,39.52,5.56,66,0
wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,Combativo,56.38,27.14,0.39,-1.70,-0.65,5.51,67,40.21,5.92,59,8
tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,Defensor de Área,35.17,38.42,-0.92,-0.84,-0.88,5.49,68,36.75,5.45,67,1
c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,Combativo,26.93,33.47,-1.43,-1.22,-1.32,5.41,69,30.13,5.26,70,-1
cac-vit-ria-84,Cacá,Vitória,Defensor de Área,27.18,40.42,-1.42,-0.69,-1.05,5.35,70,34.18,5.28,69,1
a-franco-tigres-uanl-168,A. Franco,Tigres UANL,Combativo,41.73,18.78,-0.52,-2.33,-1.42,5.07,71,28.67,5.16,71,0
