modelo,rank,Jogador,Equipe,proposta,perfil_m,nota,con,def,z_con,z_def,z_meta
atual,1,Léo Pereira,Flamengo,Construtor,Construtor,8.07,93.66,31.29,2.70,-1.38,0.66
atual,2,Léo Ortiz,Flamengo,Construtor,Construtor,7.86,85.21,46.44,2.17,-0.24,0.97
atual,3,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,7.69,82.70,74.20,2.02,1.86,1.94
atual,4,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.65,73.94,54.30,1.48,0.35,0.92
atual,5,Arthur Dias,Athletico Paranaense,Construtor,Construtor,7.59,73.59,33.72,1.46,-1.20,0.13
atual,6,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,7.40,70.07,52.40,1.24,0.21,0.72
atual,7,Bruno Gomes,Internacional,Combativo,Construtor,7.38,69.02,39.29,1.17,-0.78,0.20
atual,8,Willian Machado,Mirassol,Defensor de Área,Híbrido,7.23,65.53,66.40,0.96,1.27,1.11
atual,9,David Duarte,Bahia,Defensor de Área,Defensivo,7.20,52.79,68.16,0.17,1.40,0.78
atual,10,Júnior Alonso,Atlanta United,Combativo,Defensivo,7.12,39.44,72.24,-0.66,1.71,0.53
atual,11,A. Frías,Santos,Combativo,Defensivo,7.11,22.08,74.46,-1.73,1.88,0.07
atual,12,L. Villalba,Cruzeiro,Construtor,Construtor,7.08,73.42,26.40,1.44,-1.75,-0.15
atual,13,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,7.07,45.05,64.55,-0.31,1.13,0.41
atual,14,F. Torres,Internacional,Combativo,Defensivo,7.06,52.01,66.95,0.12,1.31,0.71
atual,15,S. Ramos Mingo,Bahia,Construtor,Construtor,7.05,63.03,30.07,0.80,-1.48,-0.34
atual,16,Robert Renan,Vasco da Gama,Construtor,Construtor,7.01,61.97,51.08,0.74,0.11,0.42
atual,17,Ignácio,Fluminense,Defensor de Área,Defensivo,6.99,36.55,70.46,-0.84,1.58,0.37
atual,18,Jacy,Coritiba,Defensor de Área,Defensivo,6.97,28.32,63.75,-1.35,1.07,-0.14
atual,19,João Victor,Mirassol,Defensor de Área,Defensivo,6.94,64.47,58.37,0.89,0.66,0.78
atual,19,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,Defensivo,6.94,54.85,77.54,0.30,2.11,1.20
simetria_z,1,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,8.01,82.70,74.20,2.02,1.86,1.94
simetria_z,2,Willian Machado,Mirassol,Defensor de Área,Híbrido,7.75,65.53,66.40,0.96,1.27,1.11
simetria_z,3,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.72,73.94,54.30,1.48,0.35,0.92
simetria_z,4,Léo Ortiz,Flamengo,Construtor,Construtor,7.64,85.21,46.44,2.17,-0.24,0.97
simetria_z,5,João Victor,Mirassol,Defensor de Área,Defensivo,7.62,64.47,58.37,0.89,0.66,0.78
simetria_z,6,Eduardo Doma,Chapecoense,Defensor de Área,Construtor,7.47,70.07,52.40,1.24,0.21,0.72
simetria_z,7,David Duarte,Bahia,Defensor de Área,Defensivo,7.44,52.79,68.16,0.17,1.40,0.78
simetria_z,8,Léo Pereira,Flamengo,Construtor,Construtor,7.36,93.66,31.29,2.70,-1.38,0.66
simetria_z,9,F. Torres,Internacional,Combativo,Defensivo,7.31,52.01,66.95,0.12,1.31,0.71
simetria_z,10,Gabriel Xavier,Shenzhen Peng City,Defensor de Área,Defensivo,7.22,54.85,77.54,0.30,2.11,1.20
simetria_z,11,Robert Renan,Vasco da Gama,Construtor,Construtor,7.15,61.97,51.08,0.74,0.11,0.42
simetria_z,12,Ruan Tressoldi,Atlético Mineiro,Defensor de Área,Defensivo,7.06,45.05,64.55,-0.31,1.13,0.41
simetria_z,12,Sabino,São Paulo,Defensor de Área,Híbrido,7.06,51.15,60.98,0.07,0.86,0.46
simetria_z,14,Júnior Alonso,Atlanta United,Combativo,Defensivo,7.00,39.44,72.24,-0.66,1.71,0.53
simetria_z,15,Gustavo Martins,Grêmio,Defensor de Área,Híbrido,6.97,72.08,42.76,1.36,-0.52,0.42
simetria_z,16,Alexander Barboza,Palmeiras,Combativo,Construtor,6.94,59.15,51.88,0.56,0.17,0.37
simetria_z,16,N. Ferraresi,Botafogo,Defensor de Área,Híbrido,6.94,62.91,49.06,0.79,-0.04,0.38
simetria_z,18,F. Balbuena,Grêmio,Combativo,Construtor,6.91,65.49,51.98,0.95,0.18,0.57
simetria_z,19,Zé Ivaldo,Remo,Combativo,Defensivo,6.90,46.21,66.74,-0.24,1.29,0.53
simetria_z,20,Gabriel Mercado,Internacional,Combativo,Construtor,6.85,62.65,47.91,0.78,-0.13,0.33
simetria_suave,1,Léo Pereira,Flamengo,Construtor,Construtor,8.14,93.66,31.29,2.70,-1.38,0.66
simetria_suave,2,Léo Ortiz,Flamengo,Construtor,Construtor,7.94,85.21,46.44,2.17,-0.24,0.97
simetria_suave,3,Pedro Henrique,Red Bull Bragantino,Construtor,Construtor,7.73,82.70,74.20,2.02,1.86,1.94
simetria_suave,4,Fabricio Bruno,Cruzeiro,Construtor,Construtor,7.65,73.94,54.30,1.48,0.35,0.92
simetria_suave,5,Arthur Dias,Athletico Paranaense,Construtor,Construtor,7.62,73.59,33.72,1.46,-1.20,0.13
